title,sold_price_usd,ended_at,condition,keyword,item_id
VINTAGE GRISWOLD CAST IRON MINI ASHTRAY SKILLET Quality O Ware Vintage See Pics,18.88,2026-09-18,Pre-Owned,vintage cast iron skillet,147568668886
"BEAUTIFUL Griswold #5 Cast Iron 8"" Skillet 724 Block Logo Vintage Erie Pan ☆USA",52.00,2026-09-18,Pre-Owned,vintage cast iron skillet,267789403849
Birmingham Stove & Range (BSR) Red Mountain #5 Cast Iron Skillet SHIPS FREE!,29.99,2026-09-18,Pre-Owned,vintage cast iron skillet,267786251873
Beautfully Restored #8 Griswold 704 Cast Iron Skillet,85.00,2026-09-18,Pre-Owned,vintage cast iron skillet,800633114181
Vintage Cast Iron Square Egg Skillet GRISWOLD #2 Ghost Shadow Mark,55.00,2026-09-18,Pre-Owned,vintage cast iron skillet,407227834782
OLD CHICAGO HARDWARE HAMMERED CAST IRON SKILLET 85G,28.50,2026-09-18,Pre-Owned,vintage cast iron skillet,237076221745
VINTAGE LODGE CAST IRON SKILLET #10 WITH 3 NOTCH SITS FLAT WITH HEAT RING,60.00,2026-09-18,Pre-Owned,vintage cast iron skillet,256879997789
W.C. Davis number 7 gate marked single pour skillet,165.00,2026-09-18,Pre-Owned,vintage cast iron skillet,117412939606
Vintage Wagner Ware Cast Iron Double Skillet Hinged Cover Excel Restored Cond,128.88,2026-09-18,Pre-Owned,vintage cast iron skillet,298262435869
Vintage FINLAY No 8 Cast Iron Skillet Fry Pan Made In Canada,100.00,2026-09-18,Pre-Owned,vintage cast iron skillet,178305283245
Vintage Refurbished Wagner Ware Pie Logo #3 Cast Iron Skillet Cat. #1053 D,124.99,2026-09-18,Pre-Owned,vintage cast iron skillet,406897840663
Griswold Cast Iron #53 Square Egg Skillet Vintage Since 1865,50.00,2026-09-18,Pre-Owned,vintage cast iron skillet,188944070179
Unmarked Lodge 3-Notch Skillet,1.00,2026-09-18,Pre-Owned,vintage cast iron skillet,237063471649
"Lodge 3SK Cast Iron Skillet 6 1/2"" Frying Pan  USA",6.00,2026-09-18,Pre-Owned,vintage cast iron skillet,298554319389
Vintage Le Creuset #20 8” Cast Iron Skillet Fry Pan Green,70.00,2026-09-18,Pre-Owned,vintage cast iron skillet,307116804267
Pre Griswold Erie #7 Sixth Series Cast Iron Skillet,79.00,2026-09-18,Pre-Owned,vintage cast iron skillet,820121628414
Vintage No 8 Cast Iron 10.5in Chicken Fryer Deep Skillet with Lid,49.99,2026-09-18,Pre-Owned,vintage cast iron skillet,820136395815
Vintage Wagner Unmarked 8 Inch Cast Iron Skillet Frying Pan w Dual Pour Spouts,34.18,2026-09-18,Pre-Owned,vintage cast iron skillet,168660184851
Griswold Ebleskiver Skillet Scandinavian Cast Iron Cake Pan Wagner,85.00,2026-09-18,Pre-Owned,vintage cast iron skillet,318824522743
Vintage Griswold No 3 (709K) Cast Iron Skillet Excellent Restored Condition,48.88,2026-09-18,Pre-Owned,vintage cast iron skillet,298667705587
Vintage Le Creuset #23 Skillet Fry Pan Enameled Cast Iron Double Spout 9” Green,49.91,2026-09-18,Pre-Owned,vintage cast iron skillet,820121960907
VTG Griswold Iron Mountain #8 1033 Heat Ring Cast Iron Skillet Frying Pan Flat,54.99,2026-09-18,Pre-Owned,vintage cast iron skillet,188938904290
Wagner Ware Sidney O 1218 Square Cast Iron Skillet with Thumb Rest Restored,49.99,2026-09-18,Pre-Owned,vintage cast iron skillet,128073089328
Cast Iron Skillet Pan w Heat Ring Pour Spouts Flat Bottom #5 Vintage Fry Pan,20.95,2026-09-18,Pre-Owned,vintage cast iron skillet,366649736775
VINTAGE WAGNER WARE GRISWOLD C 9” Cast Iron CHEF SKILLET w Thumb Rest Unseasoned,89.99,2026-09-18,Pre-Owned,vintage cast iron skillet,298684544010
"Vintage Lodge Cast Iron Skillet Pan #5 (6.5"" spout to spout) USA 3SK",12.00,2026-09-18,Pre-Owned,vintage cast iron skillet,257254879040
"Wagner Ware Sidney O  No 3 Cast Iron Skillet 1053 B FLAT 6.5""",23.44,2026-09-18,Pre-Owned,vintage cast iron skillet,285819715186
Antique Sperry No. 8 Cast Iron Skillet w/ Heat Ring & Gatemark Pat. Date 1887,225.00,2026-09-18,Pre-Owned,vintage cast iron skillet,147582266419
Rare Unmarked Griswold No. 8 Cast Iron Skillet 755 A Clean Seasoned,49.95,2026-09-18,Pre-Owned,vintage cast iron skillet,318857176435
Vintage Wagner Ware Sidney O Cast Iron Skillet Pan 1053N,23.74,2026-09-18,Pre-Owned,vintage cast iron skillet,188506955840
