title,sold_price_usd,ended_at,condition,keyword,item_id
Corning Ware Blue Cornflower Petite Casserole Pan P-41 Set of 6 With Lids!,54.99,2026-09-18,Pre-Owned,corning ware blue cornflower,188948651153
Vintage Corning Ware Blue Cornflower Set of 2 Petite Pan Casserole Dishes P-41-B,8.99,2026-09-18,Pre-Owned,corning ware blue cornflower,188904866187
Vintage Blue Cornflower Stove Top Coffee Tea Pot Percolator 6 Cup Exc. Con.,120.00,2026-09-18,Pre-Owned,corning ware blue cornflower,158306950076
Vintage Corning Ware Cornflower Blue Casserole Dish Pan with lid A-2-B 2 quart,17.99,2026-09-18,,corning ware blue cornflower,394625427784
"Vintage Corning Ware Blue Cornflower 13"" Open Roaster NIB Sealed Box",95.00,2026-09-18,Brand New,corning ware blue cornflower,298674426552
Corning Ware Blue Cornflower Meat Platter and Rack,21.50,2026-09-18,Pre-Owned,corning ware blue cornflower,336778590697
Vintage Corning Ware Blue Cornflower. P-1-B 1QT  Casserole Dish w/ Lid NICE,14.95,2026-09-18,Pre-Owned,corning ware blue cornflower,336367850747
Vintage New In Box Blue Cornflower 9 Piece Modern Family Set Made In USA   NOS,138.50,2026-09-18,New (Other),corning ware blue cornflower,298665138120
Vintage Corning Ware Cornflower Blue Square Casserole Dish 10 inch w Lid,34.99,2026-09-18,Pre-Owned,corning ware blue cornflower,318768414710
CORNING Ware Blue Cornflower 2.5 Quart CASSEROLE Dish with Glass Lid P-2  1/2 B,38.25,2026-09-18,Pre-Owned,corning ware blue cornflower,117413004373
"Corning Ware Cornflower Blue P-41,  P-43 Petite Casserole Dishes Lids Covers Set",45.00,2026-09-18,Pre-Owned,corning ware blue cornflower,298686692749
Vintage Corning Ware Black Twist Detachable Lock On Pot Casserole Holder Handle,6.49,2026-09-18,Pre-Owned,corning ware blue cornflower,177924803104
Vintage Corning Ware Blue Cornflower 2 3/4 Cup Casserole Dish P-43-B FREE SHIP,19.95,2026-09-18,Pre-Owned,corning ware blue cornflower,188948311128
Hull Square Bake And Serve 9” Brown Drip Pottery Casserole Dish Vintage Square,0.99,2026-09-18,Pre-Owned,corning ware blue cornflower,168681622111
"Vtg CORNING WARE P-4-B blue cornflower  1 1/2 Qts. Rectangle W/ Pyrex Lid, USA",20.00,2026-09-18,Pre-Owned,corning ware blue cornflower,236958719418
"1960-61 CORNING WARE Blue Cornflower A-25, 2 1/2 Qt w/Pyrex P-9-C-1 Lid",19.95,2026-09-18,Pre-Owned,corning ware blue cornflower,257737272269
Corning Ware blue cornflower lot- 1 QT baking/lid A7C/ 9” bake dish/twist handle,10.99,2026-09-18,Pre-Owned,corning ware blue cornflower,137505088723
Corning Ware Blue Cornflower 6 cup Coffee Tea Pot Kettle Vintage With Lid,12.99,2026-09-18,Pre-Owned,corning ware blue cornflower,336790095829
"Set Of 3 Vintage Corning Ware Cornflower Blue  P-309 9"" Pie Plates",33.00,2026-09-18,Pre-Owned,corning ware blue cornflower,307180954433
Vtg Corning Ware Blue Cornflower Meat PLATTER P-19 w/ Metal Wood Rack Holder,23.99,2026-09-18,Pre-Owned,corning ware blue cornflower,227382006583
"Corningware Blue Cornflower Petite Pan Casserole Dish P-41 Square 6.5""",10.00,2026-09-18,Pre-Owned,corning ware blue cornflower,406541942776
"Corning Decor Dinner Ware 702-35 Milk Glass Blue Teal Stripe Saucer 6"" Diameter",8.50,2026-09-18,Pre-Owned,corning ware blue cornflower,285468179635
"ONCE UPONE A TIME there was a Vintage Corning Ware 7"" Casserole without a RACK..",6.99,2026-09-18,Pre-Owned,corning ware blue cornflower,257552669340
Vintage CorningWare 11” Blue Cornflower Casserole W/lid Trivet & Handle,25.95,2026-09-18,Pre-Owned,corning ware blue cornflower,206377445475
Vintage Corning Ware P-4-B Blue Cornflower 1.5 Qt Rectangle Baking Casserole USA,14.99,2026-09-18,Pre-Owned,corning ware blue cornflower,307138206920
"Vintage Corning Ware Pyroceram Blue Cornflower 10"" Casserole with Rare White Lid",45.00,2026-09-18,Pre-Owned,corning ware blue cornflower,128052601621
"Corning Ware Cornflower P-4-B 1-1/2 Qt Casserole 7x5-1/2x3"" & Pyrex Lid READ",24.00,2026-09-18,Pre-Owned,corning ware blue cornflower,227506247396
"Vtg CORNING WARE P-4-B blue cornflower  1 1/2 Qts. Rectangle W/ Pyrex Lid, USA",22.00,2026-09-18,Pre-Owned,corning ware blue cornflower,237052147274
Corelle Corning Ware First of Spring 10 1/4” Dinner Plates Set of 8,25.50,2026-09-18,Pre-Owned,corning ware blue cornflower,158285325348
1960-1969 RARE VINTAGE CORNING WARE BLUE CORNFLOWER CASSEROLE,15.00,2026-09-18,Pre-Owned,corning ware blue cornflower,287370010154
