title,sold_price_usd,ended_at,condition,keyword,item_id
NIB Vintage Corning Ware Snack•it 2 square dishes,10.80,2026-09-18,Brand New,corningware,307180999289
Corning Ware Replacement 7” Clear Glass Lid Pyrex A-7-C Casserole Lid Only GUC,9.50,2026-09-18,Pre-Owned,corningware,307184565431
Vintage Corning Ware Lock On Detachable Handle Black with Original Box Fast Ship,10.00,2026-09-18,Pre-Owned,corningware,306361031826
Corning Ware Blue Cornflower Petite Casserole Pan P-41 Set of 6 With Lids!,54.99,2026-09-18,Pre-Owned,corningware,188948651153
Vintage Corning Ware Detachable Handle Set Of 2 *,10.00,2026-09-18,Pre-Owned,corningware,137729178956
VTG SET 2 CORNING WARE Casserole Carrier Silver Trivets P-11-M & P-11 2 1/2 M-1,21.00,2026-09-18,Pre-Owned,corningware,336668871350
Vintage Corning Ware Twist & Lock On Handle Detachable Pot Casserole Holder Tool,6.64,2026-09-18,Pre-Owned,corningware,227526448910
corning ware handle replacement 2851299,9.99,2026-09-18,Pre-Owned,corningware,158298546245
Vintage Corning Ware Blue Cornflower Set of 2 Petite Pan Casserole Dishes P-41-B,8.99,2026-09-18,Pre-Owned,corningware,188904866187
Corning Ware Clear Glass Lid Round Casserole Top Replacement Piece 8.25”,15.00,2026-09-18,Pre-Owned,corningware,298622811282
Set of 8 Vintage Corning Ware French White 16oz 473mL Ramekin Bowls No Lid,42.49,2026-09-18,Pre-Owned,corningware,137669838111
Villeroy & Boch Twist Alea Limone 8 5/8” Square Baker CeramicPlus Germany,139.00,2026-09-18,New (Other),corningware,206494788052
"LOT of 3 Vision Casserette V-14-B by Corning Ware Oval in Amber, no lids",16.17,2026-09-18,Pre-Owned,corningware,286980749141
Lot Of 3 Vtg Corning Ware Black Twist Detachable Lock On Pot Casserole Handles,19.99,2026-09-18,Pre-Owned,corningware,227432866681
Corning Ware Lot 4 Detachable Twist Lock Heat Handles Pat 2851299,30.00,2026-09-18,Pre-Owned,corningware,318613077588
CORNING WARE BLACK TWIST DETACHABE LOCK-ON POT CASSEROLE HANDLE (t13),10.50,2026-09-18,Pre-Owned,corningware,296548958491
5 Vintage Corning Ware Twist & Lock Detachable Casserole Handles USED  Lot,30.00,2026-09-18,Pre-Owned,corningware,206443158162
Pyrex Corningware DC-1.5-C Clear blu Replacement  Lid  for 2 1/2 Quart Casserole,19.94,2026-09-18,Pre-Owned,corningware,287543838122
SET of 2 CORNING WARE WHITE SIDEKICK DISHES P-140-B USA Free Shipping,29.99,2026-09-18,Pre-Owned,corningware,287375343502
