title,sold_price_usd,ended_at,condition,keyword,item_id
Corning Ware Spice Of Life “La Marjolaine” 2 Quart   Dish Only No Lid,12.00,2026-09-18,Pre-Owned,corning ware la marjolaine,317472114154
Vtg Corning Ware Spice of Life La Marjolaine 1.5 Pint Saucepan w/Lid ~ P-82-B,20.00,2026-09-18,Pre-Owned,corning ware la marjolaine,188560874372
Vintage Corning Ware Spice of Life La Marjolaine 2 Quart Casserole A-2-B (I),12.00,2026-09-17,Pre-Owned,corning ware la marjolaine,128046584444
Vtg Corning Ware Spice of Life La Marjolaine 1 1/2Qt* & 2Qt Casserole Dish + Lid,34.96,2026-09-17,Pre-Owned,corning ware la marjolaine,128084141591
Corning Ware Spice Of Life La Marjolaine P-82-B 1 1/2 Pint With Glass Lid,20.00,2026-09-16,Pre-Owned,corning ware la marjolaine,147577770033
Corning Ware Spice of Life 3 quart LEchalote La Marjolaine with lid,15.00,2026-09-15,Pre-Owned,corning ware la marjolaine,396205058317
VTG Corning Ware L'Echalote La Marjolaine “Spice Of Life” 3 Quart Dish with Lid,24.00,2026-09-15,Pre-Owned,corning ware la marjolaine,147498526819
Rare Corning Ware Spice of Life La Marjolaine 2Qt  A2B w/A9C lid,18.00,2026-09-14,Pre-Owned,corning ware la marjolaine,147436135869
Vintage Corning Ware Spice of Life A-3-B L'Echalote La Marjolaine 3 Qt No Lid,18.00,2026-09-13,Pre-Owned,corning ware la marjolaine,176823316135
VTG Corning Ware 3QT Casserole Dish L’echalote La Marjolaine Spice Of Life,19.00,2026-09-13,Pre-Owned,corning ware la marjolaine,188050825681
Vtg Corning Ware 3 QT. A-3-B Spice Of Life L'Echalote La Marjolaine Casserole,19.99,2026-09-13,Pre-Owned,corning ware la marjolaine,178417406014
Vintage Corning Ware Spice of Life La Marjolaine 2 Qt A-2-B Dish Without Lid,15.29,2026-09-12,Pre-Owned,corning ware la marjolaine,406318131411
"L'ECHALOTE LA MARJOLAINE  ""SPICE OF LIFE"" CORNING WARE 3 QT. CASSEROLE--NO LID",28.99,2026-09-12,Pre-Owned,corning ware la marjolaine,147508750630
Vintage CorningWare A-2-B Spice of Life La Marjolaine 2 QT Casserole Dish w/ Lid,16.95,2026-09-11,Pre-Owned,corning ware la marjolaine,227461939358
"Vintage ""La Marjolaine"" 2 Quart Corning Ware",13.00,2026-09-10,Pre-Owned,corning ware la marjolaine,226970801790
Vintage Corning Ware A-2-B Spice of Life La Marjolaine 2 qt Casserole Dish & Lid,24.99,2026-09-09,Pre-Owned,corning ware la marjolaine,128065732445
Corning Ware L'Echalote La Marjolaine Spice of Life 1 Quart Dish A-1-B w/Lid,18.99,2026-09-07,Pre-Owned,corning ware la marjolaine,187695359192
"L'ECHALOTE LA MARJOLAINE  ""SPICE OF LIFE"" CORNING WARE 3 QT. CASSEROLE--NO LID",14.98,2026-09-07,Pre-Owned,corning ware la marjolaine,168588858255
Corning Ware Spice of Life 3 Quart Square Casserole A-3-B NO LID la marjolaine,12.99,2026-09-07,Pre-Owned,corning ware la marjolaine,206162077285
Vintage Corning Ware A-5-B  L'Echalote La Marjolaine 5 Quart Spice of Life w/Lid,45.00,2026-09-07,Pre-Owned,corning ware la marjolaine,267776368560
Vtg Corning Ware L'Echalote La Marjolaine 3 Quart Spice of Life w/Pyrex Lid,20.88,2026-09-05,Pre-Owned,corning ware la marjolaine,287564721787
Corning Ware Spice of Life 'La Marjolaine' Lidded 2L Casserole Dish A-2-B,17.00,2026-09-05,Pre-Owned,corning ware la marjolaine,285108383697
VTG CorningWare Spice of Life A-2-B 2 Qt La Marjolaine Casserole with Lid,17.00,2026-09-05,Pre-Owned,corning ware la marjolaine,237040626873
Corning Ware L'Echalote La Marjolaine Spice of Life 3 Quart Dish A-3-B No Lid,15.00,2026-09-05,Pre-Owned,corning ware la marjolaine,397737670947
Vintage Corning Ware La Marjolaine Spice of Life A-3-B 3 Liter w/Lid,20.99,2026-09-05,Pre-Owned,corning ware la marjolaine,820014955534
Vintage Corning Ware Spice Of Life La Marjolaine P-315-B 2 Qt Loaf Pan USA,15.00,2026-09-05,Pre-Owned,corning ware la marjolaine,800614059544
Corning Ware Spice Of Life 2 Quart  A-2-B La Marjolaine No Lid Vintage Good,22.99,2026-09-05,Pre-Owned,corning ware la marjolaine,389800161921
Vintage Corning Ware L’Echalote La Marjolaine Spice of Life 3QT Casserole w/Lid,25.99,2026-09-05,Pre-Owned,corning ware la marjolaine,137026378854
VTG Spice Of Life Corningware 3qt Casserole Dish L Echalote La Marjolaine A-3-B,20.99,2026-09-02,Pre-Owned,corning ware la marjolaine,389818515934
VTG Corning Ware La Marjolaine Spice Of Life A-3-B Casserole 3QT,20.99,2026-09-02,Pre-Owned,corning ware la marjolaine,298154403613
