title,sold_price_usd,ended_at,condition,keyword,item_id
"Fiesta Salad/Dessert Plate Square Ivory 9"" Vintage",22.10,2026-09-18,Pre-Owned,vintage Fiesta Fiestaware,168598011058
"New Turquoise Vintage Fiesta Dinnerware Set for 4, authentic fiestaware",111.00,2026-09-18,Brand New,vintage Fiesta Fiestaware,326777589010
Vintage Fiesta Fiestaware 25 Pc Lot Homer Laughlin Mixed Colors Plates Bowls USA,168.99,2026-09-18,Pre-Owned,vintage Fiesta Fiestaware,198614080526
"Fiesta Dinner Plate Peacock 10 1/2"" Retired Fiestaware Homer Laughlin",22.49,2026-09-18,Brand New,vintage Fiesta Fiestaware,188895519094
"Vintage HLC Fiestaware Oval Serving Platter 12.5"" Old Ivory READ",15.00,2026-09-18,Pre-Owned,vintage Fiesta Fiestaware,188098521694
Vintage Fiestaware Fiesta Coffee Pot Server Lid Original Green Ceramic HTF USA!,142.49,2026-09-18,Pre-Owned,vintage Fiesta Fiestaware,236974043638
Vintage FIESTAWARE Yellow Coffee Cups Mugs Set of 2 FIESTA Retro Kitchen,12.11,2026-09-18,Pre-Owned,vintage Fiesta Fiestaware,178392313447
"Fiesta Ware Homer Laughlin Orange 10.5"" Plate Set Of 4 EUC",49.00,2026-09-18,Pre-Owned,vintage Fiesta Fiestaware,287592418070
Vintage Homer Laughlin Fiesta Ware Oval Platter Turquoise 13.5 x 9.5’’,10.39,2026-09-18,Pre-Owned,vintage Fiesta Fiestaware,326905063070
HLC Fiesta Turquoise Coffee Pot USA ~ Fiestaware,40.00,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,147572809768
9th Anniversary Fiesta Fiestaware Persimmon Handled Cake Plate Tray Platter,25.00,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,398381482184
Original Vintage Fiesta Ware Radioactive Red Salad Plate 7 1/4” Orange,19.99,2026-09-18,Pre-Owned,vintage Fiesta Fiestaware,137749514103
"Vintage Fiesta Homer Laughlin Older HLC Grill Plate Old Ivory 10.5"" USA Divided",25.00,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,158178092214
Vintage Fiesta Original Green 9.5 “ Luncheon Plate unmarked HLC USA,15.00,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,168679451604
Vintage Fiesta Fiestaware Homer Laughlin Pale Yellow Cereal Soup Bowls 7” Set 4,36.00,2026-09-18,Pre-Owned,vintage Fiesta Fiestaware,318581387559
"VINTAGE 4 Piece Set Fiesta Classic Rim 5 5/8"" Small Cereal Berry Bowl HLC USA",48.00,2026-09-18,Pre-Owned,vintage Fiesta Fiestaware,227477091716
"Vintage Fiesta Homer Laughlin Older HLC Grill Plate Divided Cobalt Blue 10.5""",25.00,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,168606491998
"Vintage Fiesta Homer Laughlin Older HLC Grill Plate Divided Light Green 10.5""",25.00,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,168606491463
"Vintage Fiesta Homer Laughlin Older HLC Grill Plate Divided Yellow 10.5"" USA",25.00,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,158178092030
"Vintage Fiesta Homer Laughlin Older Old HLC Grill Plate Turquoise 10.5"" Divided",25.00,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,158178091311
Fiestaware Medium Green Fruit Bowl 5.5 In Vintage Fiesta Homer Laughlin,43.90,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,326157114063
Fiestaware Small Pie / Cake / Dessert Bowls Set of 4 Orange/red,30.00,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,128079568542
Fiestaware HLC Vintage Coffee Tea Cups And Saucers Assorted Colors 12 Pieces,29.99,2026-09-18,Pre-Owned,vintage Fiesta Fiestaware,336704027534
"Vintage Fiesta Fiestaware Green Rare 14"" Homer Laughlin Chop Plate Platter",64.99,2026-09-17,,vintage Fiesta Fiestaware,336551787003
Vintage Fiestaware Homer Laughlin Salad Plates Set of 3  7” Mixed Colors  USA,19.99,2026-09-18,Pre-Owned,vintage Fiesta Fiestaware,820019498504
"Fiestaware Salad Plates 7 1/4"" Various Colors Some Retired - YOU PICK - FIESTA",8.95,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,135537400632
VINTAGE Fiesta Ware BLUE #1 Nesting Mixing Bowl Fiestaware - -small chip,20.00,2026-09-18,Pre-Owned,vintage Fiesta Fiestaware,168697285838
Homer Laughlin Fiestaware SET OF 5 PC Place Setting Persimmon USA Dinner Set,35.99,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,318576550131
Fiesta Chop Plate-You Pick Color-Fiestaware,12.00,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,178453557856
FIESTA WARE HLC 7.25” PLATES HOMER LAUGHLIN 12 different color PLATES,63.99,2026-09-17,Pre-Owned,vintage Fiesta Fiestaware,267755341265
