item_id,title,sold_price_usd,bids,ended_at,seller_id,category,keyword
267429574,Grab Lot of Assorted Costume Jewelry Approximately 20 Pounds,85.0,12,2026-06-20T13:48:00,101,Jewelry & Gemstones > Costume Jewelry Grabbags,costume jewelry
267286890,Mixed Lot of Men's & Women's Rings Gold & Silver Tone Gemstone & Costume Jewelry,1000.0,27,2026-06-20T16:17:00,12,Jewelry & Gemstones > Rings,costume jewelry
267713956,"Costume Jewelry Lot - Trifari, Napier, Monet",66.87,6,2026-06-20T16:27:00,103,Jewelry & Gemstones,costume jewelry
267484228,Warm Orange Rhinestone Costume Jewelry Lot With Long Faux Pearl Necklace,17.0,2,2026-06-20T17:00:00,18,Jewelry & Gemstones > Necklaces,costume jewelry
267484246,Napier Signed Assorted Costume Jewelry Lot Some Vintage,13.0,3,2026-06-20T17:00:00,18,Jewelry & Gemstones > Jewelry Sets,costume jewelry
267431026,2Lbs Halloween-Themed Costume Jewelry Lot –,29.99,1,2026-06-20T17:01:00,8,Jewelry & Gemstones > Costume Jewelry Grabbags,costume jewelry
267267806,Silver Tone Rhinestone Costume Jewelry Lot,21.44,2,2026-06-20T17:11:00,18,Jewelry & Gemstones > Jewelry Sets,costume jewelry
266920847,Vintage & Modern Costume Jewelry Lot of 20 Large Adjustable Statement Rings,26.0,8,2026-06-20T17:27:00,42,Jewelry & Gemstones > Rings,costume jewelry
267431307,2Lbs Halloween-Themed Costume Jewelry Lot –,29.99,1,2026-06-20T17:31:00,8,Jewelry & Gemstones > Costume Jewelry Grabbags,costume jewelry
267306531,Beaded Bundle; Grab Bag Costume Jewelry,8.99,1,2026-06-20T18:00:00,133,Jewelry & Gemstones > Costume Jewelry Grabbags,costume jewelry
267460409,Wearable Kid Children Colorful Costume Jewelry Grab Bag w/ Some Vintage Some New,12.99,1,2026-06-20T18:00:00,18,Jewelry & Gemstones > Costume Jewelry Grabbags,costume jewelry
267461875,2Lbs Halloween-Themed Costume Jewelry Lot,29.99,1,2026-06-20T18:00:00,8,Jewelry & Gemstones > Jewelry Sets,costume jewelry
267421589,11Pc Vintage Costume Jewelry AB Stones & more,14.99,1,2026-06-20T18:01:00,5,Jewelry & Gemstones > Jewelry Sets,costume jewelry
267378405,14pc Costume Jewelry & Watches Brighton Seiko Kate Spade Bulova & More,30.0,7,2026-06-20T18:04:00,5,Jewelry & Gemstones > Jewelry Sets,costume jewelry
267421237,20Pc Vintage Costume Jewelry Avon & more,61.0,4,2026-06-20T18:06:00,5,Jewelry & Gemstones > Jewelry Sets,costume jewelry
267461455,Gold Tone Boho Chic Costume Jewelry Lot,12.99,1,2026-06-20T18:06:00,18,Jewelry & Gemstones > Jewelry Sets,costume jewelry
267293135,Costume Jewelry Bundle,10.99,1,2026-06-20T18:07:00,133,Jewelry & Gemstones > Costume Jewelry,costume jewelry
267293141,Costume Jewelry Bundle,13.0,3,2026-06-20T18:07:00,133,Jewelry & Gemstones > Costume Jewelry,costume jewelry
267380674,22pc Vintage Costume Jewelry Krementz Cameo Austria & more,52.0,4,2026-06-20T18:07:00,5,Jewelry & Gemstones > Jewelry Sets,costume jewelry
267460887,Statement Boho Costume Jewelry Necklace Lot With Tanner,12.99,1,2026-06-20T18:07:00,18,Jewelry & Gemstones > Jewelry Sets,costume jewelry
267293131,Bohemian Costume Jewelry Lot Kukui Nut Necklaces Leather Cuffs Beaded,12.99,1,2026-06-20T18:08:00,133,Jewelry & Gemstones > Costume Jewelry Grabbags,costume jewelry
267293148,Gold Tone Costume Jewelry Bundle,10.99,1,2026-06-20T18:08:00,133,Jewelry & Gemstones > Costume Jewelry,costume jewelry
267293146,Costume Jewelry Bundle,10.99,1,2026-06-20T18:09:00,133,Jewelry & Gemstones > Costume Jewelry,costume jewelry
267304245,Fossil Designer Costume Jewelry Lot,36.01,5,2026-06-20T18:09:00,66,Jewelry & Gemstones > Costume Jewelry,costume jewelry
267274059,Mixed Wearable Costume Jewelry Lot 1.9lb Boho Retro Earrings Necklaces Bangles,16.0,2,2026-06-20T18:10:00,133,Jewelry & Gemstones > Costume Jewelry Grabbags,costume jewelry
267306529,Earrings Costume Jewelry,10.99,1,2026-06-20T18:10:00,133,Jewelry & Gemstones > Earrings,costume jewelry
267404586,4pc Signed Costume Jewelry Joan Rivers Swarovski & Coach,42.0,8,2026-06-20T18:10:00,5,Jewelry & Gemstones > Jewelry Sets,costume jewelry
267306536,Western Costume Jewelry Bundle,10.99,1,2026-06-20T18:11:00,133,Jewelry & Gemstones > Costume Jewelry,costume jewelry
267273998,Vintage & Modern Costume Jewelry Lot 4.19 Lbs Necklaces Bracelets Earrings Beads,14.99,2,2026-06-20T18:12:00,133,Jewelry & Gemstones > Costume Jewelry Grabbags,costume jewelry
267480108,5 LB Lot of Costume Jewelry,16.99,2,2026-06-20T18:12:00,26,Jewelry & Gemstones,costume jewelry
267374121,Amazing Array of Rhinestone & CZ Rings Costume Jewelry - 132 Piece,221.0,24,2026-06-20T18:13:00,132,Jewelry & Gemstones > Rings,costume jewelry
267473526,5 LB Lot of Costume Jewelry,41.89,4,2026-06-20T18:13:00,26,Jewelry & Gemstones,costume jewelry
267489570,Rose Gold Tone Brooch Costume Jewelry Grab Bag New With Tags .18 lb,12.99,1,2026-06-20T18:15:00,18,Jewelry & Gemstones > Costume Jewelry Grabbags,costume jewelry
267428205,14 Pounds Costume Jewelry Grab,141.99,8,2026-06-20T18:16:00,53,Jewelry & Gemstones > Costume Jewelry Grabbags,costume jewelry
