item_id,title,sold_price_usd,bids,ended_at,seller_id,category,keyword
267724885,Vintage Glass Square Pedestal Vase Depression Glass,15.99,1,2026-06-20T17:17:00,103,"Collectibles > Cups, Trays, Vases",depression glass
267400326,Vintage Pink Depression Glass Dishes Bowls Covered Butter Dish Set,15.99,2,2026-06-20T18:11:00,5,Tableware and Kitchenware > Dinnerware > Plates,depression glass
267273604,Depression Glass Pink 4 Piece Lot Cabbage Rose Bowl & Creamer Sugar Vintage,14.99,1,2026-06-20T18:23:00,145,Glass > Depression Glass,depression glass
267444519,Uranium Glass Lot Depression Glassware Collectible Vintage Hazel-atlas Company,12.0,2,2026-06-20T18:48:00,90,Glass > Vintage Glass,depression glass
267415956,Vintage Green Depression Glass Tableware Set Pedestal Bowls Plates 1930s-40s,12.99,1,2026-06-20T19:00:00,9,Tableware and Kitchenware > Dinnerware > Plates,depression glass
267577047,Lot of Six Federal Glass Green Depression Glass Sherbet Cups,13.0,2,2026-06-20T19:45:00,80,Glass > Depression Glass,depression glass
267273549,Depression Glass Green 3 Piece Plate Lot Uranium UV Reactive 6 Inch Vintage,15.0,2,2026-06-20T20:32:00,27,Glass > Depression Glass,depression glass
267758972,Vintage Indiana Glass Teal Aqua Recollection Madrid Depression Glass Plates Set,8.99,3,2026-06-20T21:38:00,5,Tableware and Kitchenware > Dinnerware > Plates,depression glass
267762718,Vintage Pink Depression Glass Vase & Handled Oval Serving Bowl 1930s-40s,5.99,1,2026-06-20T23:42:00,5,Tableware and Kitchenware > Dinnerware > Cups/Mugs,depression glass
267461389,Vintage Green Depression Uranium Glass Cups & Citrus Juicer Set,14.99,1,2026-06-21T04:32:00,5,Tableware and Kitchenware > Dinnerware > Cups/Mugs,depression glass
267562151,Vintage Pink Depression Glass Ice Bucket Etched Floral Garland 1930s-40s,14.99,1,2026-06-21T18:02:00,90,Tableware and Kitchenware > Barware,depression glass
267212826,Vintage Green Depression Glass Saucers Set 17 Pieces 5.5 Inch 1930s-40s,25.0,4,2026-06-21T18:10:00,2,Tableware and Kitchenware > Dinnerware > Serving Pieces,depression glass
267529246,Vintage Anchor Hocking Ballerina Cameo Decanter Uranium Depression Glass Glowing,87.0,13,2026-06-21T18:13:00,90,Glass > Depression Glass,depression glass
267574868,Vintage Uranium Glass Citrus Juicer Reamer Uv Glow Depression,9.99,1,2026-06-21T18:14:00,90,Glass > Depression Glass,depression glass
267342702,5 Piece Vintage Green Depression/Vaseline/Uranium Glass Bread Dishes & Nut Bowl,41.0,9,2026-06-21T18:21:00,11,Glass > Depression Glass,depression glass
267357601,3 Vtg Thumbprint Textured Green Uranium Depression Footed Sundae Dessert Glasses,11.5,2,2026-06-21T18:25:00,135,Glass > Depression Glass,depression glass
267528250,Uranium Green Depression Glass Cup,21.0,6,2026-06-21T18:52:00,47,"Collectibles > Cups, Trays, Vases",depression glass
267567435,4pc Bundle of Assorted Pink Depression Glass Serving Dishes,9.99,1,2026-06-21T18:55:00,73,Glass > Depression Glass,depression glass
266718228,Vintage Green Depression Glass Octagonal Shaped Footed Bowl,9.99,1,2026-06-21T19:06:00,200,Glass > Depression Glass,depression glass
267556831,Vintage Uranium Glass Green Depression Glass Diamond Compote Bowl,52.0,8,2026-06-21T19:15:00,58,Glass > Vintage Glass,depression glass
267353181,Vintage Green Uranium Glass Citrus Juicer Depression Era Glow Up,11.99,2,2026-06-21T19:19:00,135,Glass > Vintage Glass,depression glass
267337813,2 Set Unbranded UV Ultra Violet Glow Uranium Bowl & Lidded Depression Glass Dish,38.37,10,2026-06-21T19:26:00,106,Glass > Depression Glass,depression glass
267542741,Vintage Depression Era Glass Butter Dish with Grape Design & Cover,36.0,8,2026-06-21T19:57:00,18,Glass > Vintage Glass,depression glass
267886692,Vintage Pink Depression Glass Oval 5 Part Relish Tray Open Lace Edge,9.99,2,2026-06-21T20:00:57,5,Tableware and Kitchenware > Dinnerware > Serving Pieces,depression glass
267357216,Vintage Hocking Green Depression Glass Tall Sherbet Or Champagne Cuope,13.0,3,2026-06-21T20:05:00,29,Glass > Depression Glass,depression glass
267640597,"Vintage Depression Glass Platter & Amber, Marigold Carnival Glass Dishes Set",19.99,1,2026-06-21T22:01:00,8,Tableware and Kitchenware > Dinnerware > Plates,depression glass
267886454,Vintage Green Uranium Glass Sharon Cabbage Rose Sugar Bowl Depression Era,5.99,1,2026-06-21T22:10:00,5,Tableware and Kitchenware > Dinnerware > Cups/Mugs,depression glass
267887955,Vintage Depression & Carnival Glassware Lot Fire-King Peach Luster Creamer,5.99,1,2026-06-21T23:40:00,5,Tableware and Kitchenware > Dinnerware > Plates,depression glass
267470660,Vintage Pink Depression Glass Bowl with Floral and Cherry Design,8.99,1,2026-06-22T16:04:00,19,Glass > Depression Glass,depression glass
267327081,Vintage Green Uranium Depression Glass 3-Section Serving Dish w Etched Design,16.0,3,2026-06-22T17:00:00,19,Tableware and Kitchenware > Serving Pieces > Trays,depression glass
