item_id,title,sold_price_usd,bids,ended_at,seller_id,category,keyword
267010982,Leica Mini II 35mm Film Camera Silver Black with Flash & Leather Case,202.0,18,2026-06-20T02:44:00,2,Cameras & Camcorders > Vintage Cameras,film camera
267377689,Fujifilm Instax Mini 7s Instant Film Camera Light Blue With Patterned Case,7.99,1,2026-06-20T06:00:00,54,Cameras & Camcorders > Film Cameras,film camera
267382560,Ricoh Shotmaster 130Z 35mm Film Camera,12.99,1,2026-06-20T07:11:30,68,Cameras & Camcorders > Film Cameras,film camera
267779905,CIB Antique Kodak Vigilant Six-16 Folding Bellows Film Camera Untested,18.95,1,2026-06-20T08:39:12,179,Cameras & Camcorders > Vintage Cameras,film camera
267422418,Fujifilm FinePix S4200 Digital Camera Kit W/ Bag & SD Cards,16.0,4,2026-06-20T11:06:31,363,Cameras & Camcorders > Digital Cameras,film camera
267422828,Fujifilm Instax mini 41 & Two Instax mini 7+ & 8 Cameras with Cases,46.0,9,2026-06-20T11:10:58,363,Cameras & Camcorders > Film Cameras,film camera
267278933,Vintage Polaroid OneStep Closeup 600 Instant Film Camera With Built-in Flash,14.99,1,2026-06-20T12:43:30,115,Cameras & Camcorders > Vintage Cameras,film camera
267427983,Pentax SF1 Zoom Film Camera,9.99,1,2026-06-20T13:02:02,50,Cameras & Camcorders > Film Cameras,film camera
267716891,Fujifilm Instax Mini 7+ Instant Film Camera,15.99,1,2026-06-20T16:04:00,103,Cameras & Camcorders > Film Cameras,film camera
267166799,"Minolta XG-1 Film Camera Kit with Lenses, Flash & Manuals - Untested",58.0,16,2026-06-20T17:00:00,193,Cameras & Camcorders > Film Cameras,film camera
267195913,Vintage Busch 4x5 Press Camera with Film Holders and Flash Unit - Untested,206.0,17,2026-06-20T17:00:00,122,Cameras & Camcorders > Vintage Cameras,film camera
267203732,Yashica T2D 35mm Film Camera with Carl Zeiss Tessar Lens and Case - Untested,103.0,11,2026-06-20T17:00:00,122,Cameras & Camcorders > Film Cameras,film camera
267213392,Vintage Exakta VXIIA Film Camera with Carl Zeiss Lens,121.0,14,2026-06-20T17:00:00,19,Cameras & Camcorders > Vintage Cameras,film camera
267213592,working Vintage Minolta X-570 35mm Film Camera with 28-80mm Lens,46.0,9,2026-06-20T17:00:00,19,Cameras & Camcorders > Vintage Cameras,film camera
267460738,Fujifilm Instax Mini 9 & Mini 7S Instant Camera Set,10.99,2,2026-06-20T17:20:31,363,Cameras & Camcorders > Film Cameras,film camera
267733382,Fujifilm Instax Mini SE Lilac Camera (Untested),12.99,1,2026-06-20T18:00:00,26,Cameras & Camcorders > Digital Cameras,film camera
267487136,Canon Eos Rebel G 35mm Film SIR Camera Body Only (Untested),9.99,1,2026-06-20T18:01:00,339,Cameras & Camcorders > Film Cameras,film camera
267730164,KS Super II 35mm Film Camera with Auto Sears 50mm Lens Japan,25.97,1,2026-06-20T18:01:00,138,Cameras & Camcorders > Film Cameras,film camera
267751290,Fujifilm Instax Mini 8 Red 60 mm Instant Camera No Tested,5.99,1,2026-06-20T18:01:00,16,Cameras & Camcorders > Film Cameras,film camera
267267150,Fujifilm Blossom Pink Instax Mini 12 Instant Camera Powers On,11.99,3,2026-06-20T18:03:00,29,Cameras & Camcorders > Film Cameras,film camera
267413670,At&t Ricoh Xr-10 Vintage Film Camera,52.0,14,2026-06-20T18:04:00,47,Cameras & Camcorders > Film Cameras,film camera
267501129,Vintage Kodak Ansco Minolta 110 and Disc Film Camera 10 Piece Photography Lot,10.99,2,2026-06-20T18:05:00,33,Cameras & Camcorders > Vintage Cameras,film camera
267713812,Minolta X-370 35mm SLR Film Camera with 50mm Lens,26.0,3,2026-06-20T18:05:00,103,Cameras & Camcorders > Film Cameras,film camera
267957696,Yashica FX-3 Super 2000 35mm SLR Film Camera (Parts & Repair),17.12,3,2026-06-20T18:05:00,26,Cameras & Camcorders > Film Cameras,film camera
267451116,Fujifilm Instax Mini 9 Pink Instant Film Camera,9.99,1,2026-06-20T18:06:00,73,Cameras & Camcorders > Film Cameras,film camera
267267161,Fujifilm Blossom Pink Instax Mini 12 Instant Camera Powers On,13.0,2,2026-06-20T18:07:00,29,Cameras & Camcorders > Film Cameras,film camera
267733373,Nikon F70D 35mm Film SLR Camera Body In Black W/ Carry Strap And Box,14.99,2,2026-06-20T18:10:00,26,Cameras & Camcorders,film camera
267819584,Assorted FujiFilm Instax Mini Instant Film Cameras More Lot-Untested,35.0,5,2026-06-20T18:12:00,181,Cameras & Camcorders > Vintage Cameras,film camera
267378939,Minolta Hi-Matic AF2 35mm Film Camera 38mm f/2.8 Lens Built-in Flash,27.63,4,2026-06-20T18:15:00,5,Cameras & Camcorders > Vintage Cameras,film camera
267271106,"Fujifilm Instax Mini 9 Instant Film Camera w/Filters ,Film IOB Orange",19.88,5,2026-06-20T18:20:00,29,Cameras & Camcorders > Film Cameras,film camera
267272801,Nikon Black Fun Touch 3 Point And Shoot Film Camera 35mm With Case,9.99,1,2026-06-20T18:20:00,29,Cameras & Camcorders > Film Cameras,film camera
