item_id,title,sold_price_usd,bids,ended_at,seller_id,category,keyword
270792325,Fishing Gear Lot Daiwa Goldcast II Reel Plano Tackle Boxes Berkley Gulp Bait,60.99,12,2026-07-21T19:37:00,9,Bulk > Sports,fishing reel
270537770,Daiwa Sealine Sl27wlc5 Fishing Reel Built In Line Counter Fishing Equipment IOB,53.12,11,2026-07-21T19:48:00,106,Sports > Sporting Equipment > Fishing,fishing reel
270654801,Kastking Centron 3000 Fishing Reel,8.99,1,2026-07-21T20:01:00,133,Sports > Sporting Equipment > Fishing,fishing reel
270590457,Fishing Reel Lot 4 Reels Abu Garcia Ambassadeur Pflueger GX7 Lew's Speed Spin,65.77,13,2026-07-21T20:03:00,185,Sports > Sporting Equipment > Fishing,fishing reel
270535505,Fishing Tackle Lures Reels Hooks Accessories Assortment Used,21.09,3,2026-07-21T20:49:00,134,Sports > Sporting Equipment > Fishing,fishing reel
270601923,Ryobi V-Mag 40 Salt/Fresh Water Baitcasting Fishing Reel w. Box,14.33,3,2026-07-21T20:55:00,155,Sports > Sporting Equipment > Fishing,fishing reel
270701470,Daiwa Ballistic 2000SH Spinning Fishing Reel Zaion Body 6.0:1 Gear Ratio,130.0,28,2026-07-22T18:00:00,2,Sports > Sporting Equipment > Fishing,fishing reel
270669263,Vintage Zebco Snoopy Kids Fishing Rod Reel Combo Orange Handle Peanuts,9.99,1,2026-07-22T18:02:00,130,Sports > Sporting Equipment > Fishing,fishing reel
271002255,Abu Garcia Cardinal Dm3 Fishing Reel,6.99,1,2026-07-22T18:06:00,148,Sports > Sporting Equipment > Fishing,fishing reel
270906707,Lot of 5 Used Fishing Reels Shakespeare Bass Pro Shop Baitcasting Spinning,23.0,3,2026-07-22T18:13:00,5,Sports > Sporting Equipment > Fishing,fishing reel
270730424,Vintage Japanese Made Classic Fly Fishing Fisherman Reel w Drag Mechanism,10.0,1,2026-07-22T18:14:00,155,Sports > Sporting Equipment > Fishing,fishing reel
270706869,Vintage Sportfisher 550Z & Quantum Spinning Fishing Reels,9.99,1,2026-07-22T18:31:00,135,Sports > Sporting Equipment > Fishing,fishing reel
270695138,2 Piece Lot Shimano Saragosa 3000F & 6000F Spinning Fishing Reels,223.0,26,2026-07-22T18:38:00,11,Sports > Sporting Equipment > Fishing,fishing reel
270959396,Vintage Fishing Reels & Fish Scale | Lot of 13,26.0,6,2026-07-22T18:41:00,192,Sports > Sporting Equipment > Fishing,fishing reel
270972958,Lot of 6 Vintage Spinning Fishing Reels Abu Garcia Quantum Daiwa Shakespeare,19.99,1,2026-07-22T18:50:00,8,Sports > Sporting Equipment > Fishing,fishing reel
270694356,Abu Garcia Black Cardinal Spinning Reel Fishing Pole Metal Vintage,75.0,14,2026-07-22T19:26:00,29,Sports > Sporting Equipment > Fishing,fishing reel
270718878,Cortland Green Nylon Fly Rod & Reel Carrying Case Bag Fishing,16.55,2,2026-07-22T19:31:00,106,Miscellaneous,fishing reel
270688584,Sony PS Fishing Reel Gaming Device,11.95,1,2026-07-22T20:02:00,28,Gaming Systems & Games > Sony Playstation,fishing reel
270730380,Vintage Japanese Made Classic Fly Fishing Fisherman Reel w Drag Mechanism,10.0,1,2026-07-22T20:10:00,155,Sports > Sporting Equipment > Fishing,fishing reel
271002313,Browning Graphite 504x Fishing Reel,6.99,1,2026-07-22T20:22:00,148,Sports > Sporting Equipment > Fishing,fishing reel
270960879,Daiwa Apollo 1645 Graphite Comp Fly Fishing Rod Reel Combo Black Blue,25.77,5,2026-07-22T20:26:00,73,Sports > Sporting Equipment > Fishing,fishing reel
270730327,Vintage Japanese Made Classic Fly Fishing Fisherman Reel w Drag Mechanism,10.0,1,2026-07-22T20:46:00,155,Sports > Sporting Equipment > Fishing,fishing reel
270707131,4 Count Fishing Rods & Reels Assorted Brands - Local Pickup Only,19.99,1,2026-07-22T20:53:00,134,Sports > Sporting Equipment > Fishing,fishing reel
270730254,Vintage Japanese Made Classic Fly Fishing Fisherman Reel,10.0,1,2026-07-22T20:53:00,155,Sports > Sporting Equipment > Fishing,fishing reel
270831081,Vintage Spinning Fishing Reel Lot of 5 Daiwa Garcia Mitchell Eagle Claw,12.99,1,2026-07-23T13:14:38,115,Sports > Sporting Equipment > Fishing,fishing reel
270836532,"Fishing Line, Hooks, Reels - Shakespeare Axiom, Abu Garcia Ambassadeur +",126.99,18,2026-07-23T18:05:00,135,Sports > Sporting Equipment > Fishing,fishing reel
271063658,Plano/Thill+ 9.0 Lbs Baits/Lures/Reel/Bobbers+ Tackle Boxes & Fishing Gear,5.99,1,2026-07-23T18:07:00,106,Sports > Sporting Equipment > Fishing,fishing reel
270563652,Vintage Daiwa Sealine 600H Fishing Rod Reel Combo Saltwater Freshwater,9.99,1,2026-07-23T18:10:00,2,Sports > Sporting Equipment > Fishing,fishing reel
