item_id,title,sold_price_usd,bids,ended_at,seller_id,category,keyword
270795207,Deep Sea Fishing Rods (pick-up Only),106.77,8,2026-07-21T20:05:00,47,Miscellaneous,fishing rod
270816762,Wright & McGill Eagle Claw Fishing Rod,40.0,8,2026-07-21T20:48:00,75,Sports > Sporting Equipment > Fishing,fishing rod
270794702,"Cabela's Prestige G1 Fly Fishing Rod 8'6"" 5wt 4 Piece Graphite With Case",56.0,9,2026-07-21T20:50:00,87,Sports > Sporting Equipment > Fishing,fishing rod
270669263,Vintage Zebco Snoopy Kids Fishing Rod Reel Combo Orange Handle Peanuts,9.99,1,2026-07-22T18:02:00,130,Sports > Sporting Equipment > Fishing,fishing rod
270701200,Berkley Fishing Rod Lot With Case - Size Assorted Lengths,29.0,8,2026-07-22T18:29:00,89,Sports > Sporting Equipment > Fishing,fishing rod
270669804,Westfield Fishing Rod Pod Set Adjustable Metal Tripod Stand Green Bag,42.0,7,2026-07-22T18:47:00,345,Sports > Sporting Equipment > Fishing,fishing rod
270959849,Vintage Wright & McGill Eagle Claw Fiberglass Fishing Rod 4-Piece with Case,16.99,3,2026-07-22T18:51:00,176,Sports > Sporting Equipment > Fishing,fishing rod
270965914,Vintage Eagle Claw Wright & McGill Multi-Piece Fly Fishing Rod with Tube,9.99,3,2026-07-22T18:59:00,176,Sports > Sporting Equipment > Fishing,fishing rod
270718878,Cortland Green Nylon Fly Rod & Reel Carrying Case Bag Fishing,16.55,2,2026-07-22T19:31:00,106,Miscellaneous,fishing rod
270971501,Lynx Black Cat Golf Club Set With Titleist Bag and Fishing Rod Lot,51.0,14,2026-07-22T19:42:00,33,Sports > Sporting Equipment > Golf,fishing rod
270960879,Daiwa Apollo 1645 Graphite Comp Fly Fishing Rod Reel Combo Black Blue,25.77,5,2026-07-22T20:26:00,73,Sports > Sporting Equipment > Fishing,fishing rod
270913016,Lot of 9 Pcs Lighters - Match Book Fishing Rod Collectibles Assorted Used,42.11,9,2026-07-22T20:32:00,34,Collectibles,fishing rod
