item_id,title,sold_price_usd,bids,ended_at,seller_id,category,keyword
267727442,Okuma Integrity I 7/8 Fly Fishing Reel,15.0,3,2026-06-20T18:28:00,26,Sports > Sporting Equipment,fly reel
267297297,Fenwick Nighthawk X Fly Fishing Rod and Reel Combo with Case,67.9,4,2026-06-20T18:29:00,138,Sports > Sporting Equipment > Fishing,fly reel
267668391,Cabela Wind River Fly Fishing Rod with Three Forks Fishing Reel,23.22,4,2026-06-20T20:42:00,159,Sports > Sporting Equipment > Fishing,fly reel
267583251,Ross Reels Gunnison G-2 Fly Fishing Reel Black Metal USA Made w/ Case,121.0,21,2026-06-21T18:04:00,8,Sports > Sporting Equipment > Fishing,fly reel
267681662,"Wild Water Fly Fishing Set with 9ft AX34-090-4 Rod, Reel and Various Accessories",52.0,9,2026-06-22T18:08:00,26,Sports > Sporting Equipment > Fishing,fly reel
267472483,Gander Mountain Fly Fishing Pole w/ South Bend 1141 Finalist Reel,8.99,1,2026-06-22T18:19:00,86,Sports > Sporting Equipment > Fishing,fly reel
267676919,"Redington Red.Fly2 8'0"" 5/6 Fly Rod & SV II Reel Combo 890-2S Brown",16.0,4,2026-06-22T18:56:00,176,Sports > Sporting Equipment > Fishing,fly reel
267818738,White River Hobbs Creek Fly Reel Hbc56r Black Yellow Line With Box Manual,20.0,3,2026-06-23T18:02:00,73,Sports > Sporting Equipment > Fishing,fly reel
267795830,Cabela's Fly Fishing Rod & Reel,38.0,9,2026-06-23T18:06:00,148,Sports > Sporting Equipment > Fishing,fly reel
267591829,Vintage Fishpond Stowaway Multi Fly Reel Case With Adjustable Velcro Dividers,58.0,11,2026-06-23T18:56:00,62,Collectibles,fly reel
267905532,3 Vintage Fly Fishing Reels Martin Classic MC56 Shakespeare Sigma 456 Metal,22.45,2,2026-06-24T18:47:00,8,Sports > Sporting Equipment > Fishing,fly reel
267725753,Sougayilang 5/6 Lightweight Fly Fishing Reel,32.0,3,2026-06-24T19:14:00,117,Sports > Sporting Equipment > Fishing,fly reel
268020920,Cabela's Genesis 9ft 6wt Fly Fishing Rod & Reel Combo Graphite 4-Piece,46.73,7,2026-06-25T18:01:00,8,Sports > Sporting Equipment > Fishing,fly reel
267795975,Redington Crosswater Fly Fishing Rod & Reel Combo Set Blue Graphite #5 Line,86.05,3,2026-06-25T19:09:00,122,Sports > Sporting Equipment > Fishing,fly reel
267940327,Bauer M2 Superlite Fly Fishing Reel With Reel Pouch Made in Usa,180.0,13,2026-06-26T18:05:00,62,Sports > Sporting Equipment,fly reel
268074655,Large Fly Fishing Gear Lot Skykomish Scientific Anglers Flies Asitrum Reel,34.0,7,2026-06-26T18:31:00,8,Sports > Sporting Equipment > Fishing,fly reel
267939074,Ross Reels Evolution 3 Fly Fishing Reel With Reel Pouch Made in Usa,186.0,15,2026-06-26T18:38:00,62,Sports > Sporting Equipment,fly reel
267939577,Abel Reels Abel Super 4 Fly Fishing Reel Handpainted Von Behr Brown Trout Finish,677.12,23,2026-06-26T18:46:00,62,Sports > Sporting Equipment,fly reel
268073112,Lot of 4 Vintage Pflueger Medalist Fly Fishing Reels with Tackle Box & Flies,31.0,5,2026-06-26T18:47:00,8,Sports > Sporting Equipment > Fishing,fly reel
268074645,"Lot of Pflueger Fly Reels, Hand-Tied Flies, Worden's Spinners & Tackle Box",27.99,5,2026-06-26T18:47:00,8,Sports > Sporting Equipment > Fishing,fly reel
267938042,Hatch Outdoors Monsoon Fly Fishing Reel With Reel Pouch Made in Usa,281.0,13,2026-06-26T18:50:00,62,Sports > Sporting Equipment,fly reel
268072402,Sougayilang 4-Piece Graphite Fly Fishing Rod & Reel Combo with Case,48.0,4,2026-06-26T18:50:00,8,Sports > Sporting Equipment > Fishing,fly reel
267939731,Orvis Battenkill Bar Stock Bbs Iii Fly Fishing Reel Made in England,151.0,19,2026-06-26T18:52:00,62,Sports > Sporting Equipment,fly reel
267938114,Bauer M2 Superlite Fly Fishing Reel Made in Usa,173.27,11,2026-06-26T18:56:00,62,Sports > Sporting Equipment,fly reel
268201280,Shakespeare Omni 44 Fly Fishing Reel Vintage Automatic Reel w Fly Line,9.99,1,2026-06-26T19:06:00,168,Sports > Sporting Equipment > Fishing,fly reel
268183920,Pflueger 8ft Fly Fishing Kit Rod Reel & Flies Combo,27.0,4,2026-06-27T20:01:00,73,Sports > Sporting Equipment > Fishing,fly reel
268296721,Mixed Lot Vintage & Newer Fishing Reels Garcia Fly Penn Zebco Marado,23.22,5,2026-06-28T18:36:00,5,Sports > Sporting Equipment > Fishing,fly reel
268321171,Scientific Anglers Mastery Series Fly Fishing Line & Reels | Lot of 7,77.0,13,2026-06-28T18:37:00,192,Sports > Sporting Equipment > Fishing,fly reel
268282194,Scientific Anglers System 6 Fly Reel With Case,117.0,10,2026-06-28T20:46:00,73,Sports > Sporting Equipment > Fishing,fly reel
268439842,Shakespeare Fly Spin Combo Fishing Kit Rod Reels Lures Case Marlboro Vintage,61.0,8,2026-06-29T18:56:00,90,Sports > Sporting Equipment > Fishing,fly reel
268178982,Daiwa Executive Travel Pack Fishing Rod Reel Set SK1350 Spinning 730 Fly Reel,97.0,10,2026-06-29T20:45:00,60,Sports > Sporting Equipment > Fishing,fly reel
268340925,SCIENTIFIC ANGLERS FLY Fishing Rod & Reel AND Carry Case-Pick Up Only,32.55,4,2026-06-30T18:08:00,134,Sports > Sporting Equipment > Fishing,fly reel
268309632,Vintage Heddon Imperial Fly Fishing Reel No. 125,153.99,14,2026-06-30T20:39:00,134,Sports > Sporting Equipment > Fishing,fly reel
268371755,Pair Vintage Perrine Automatic Fly Reels No. 51 & Free Stripping Minneapolis MN,7.96,1,2026-06-30T22:31:00,59,Sports > Sporting Equipment > Fishing,fly reel
268518983,Shakespeare Strike Right Scout Fly Fishing Reel Lot 6 Vintage Mixed Models,32.0,6,2026-07-02T19:09:00,117,Sports > Sporting Equipment > Fishing,fly reel
268474942,SCIENTIFIC ANGLERS FLY Fishing Rod & Reel AND Carry Case-Pick Up Only,18.0,4,2026-07-02T19:18:00,134,Sports > Sporting Equipment > Fishing,fly reel
268676447,"Cabela's 9' Fly Fishing Rod, Prestige Plus Reel & Rod & Reel Carrier Bundle",58.01,13,2026-07-03T18:13:00,134,Sports > Sporting Equipment > Fishing,fly reel
268842705,Vintage Pflueger Medalist Fly Reels Set w/ Pre-Spooled Lines & Dry Flies,31.0,7,2026-07-03T18:24:00,8,Sports > Sporting Equipment > Fishing,fly reel
268719971,Woolrich Men's Beige Fly Fishing Trout Creel Print Button Down Shirt Sz Xxl,24.99,4,2026-07-03T19:27:00,89,Clothing > Men's Clothing > Shirts > Size XXL,fly reel
268671977,PFLUEGER 8' Rod & 1094 Reel Fly Fishing Combo,25.61,5,2026-07-03T19:54:00,134,Sports > Sporting Equipment > Fishing,fly reel
268783044,Ari 't Hart (ATH) Dutch 0 Fly Reel,462.13,11,2026-07-04T19:38:00,48,Sports > Sporting Equipment > Fishing,fly reel
269172147,Orvis Clearwater Fly Fishing Rod 9' 5wt 2pc & Orvis Battenkill BBS II Reel Combo,134.0,14,2026-07-05T17:24:00,107,Sports > Sporting Equipment > Fishing,fly reel
269067112,IOC Vintage Sears Triple Crest Fly Fishing Reel,11.99,3,2026-07-07T18:11:00,29,Sports > Sporting Equipment > Fishing,fly reel
269063818,"Fly Fishing Reel Lot 3  Olympic 420, S-Logo, Unmarked Black w/ Lines",30.0,3,2026-07-07T19:04:00,60,Sports > Sporting Equipment > Fishing,fly reel
269460132,Hobbs Creek Limited Fly Fishing Rod & Reel Combo Set Silver Graphite Rod,71.0,10,2026-07-08T18:28:00,8,Sports > Sporting Equipment > Fishing,fly reel
269551305,Lot of 5 Vintage Fishing Reels Olympic Spark 3200 Spinning Fly Baitcasting,23.0,2,2026-07-09T19:03:00,8,Sports > Sporting Equipment > Fishing,fly reel
269322784,Temple Fork Outfitters Reel Recovery Fly Rod -  5wt 9ft 4pc,112.11,9,2026-07-10T19:16:00,365,Sports > Sporting Equipment > Fishing,fly reel
269682600,"Shakespeare Fly & Spin Fishing Combo Kit with Rod, 2 Reels, Lines, Flies, Case",31.12,7,2026-07-11T18:15:00,5,Sports > Sporting Equipment > Fishing,fly reel
269652415,Lot of 2 Pcs Bill Ballan Fly Reels Fishing Equipment Black Silver Untested,427.12,18,2026-07-11T18:32:00,34,Sports > Sporting Equipment > Fishing,fly reel
269681781,Lot of 4 Pcs Fishing Reels Assorted Fly Reel Spool Collection Used,172.77,17,2026-07-11T19:29:00,34,Sports > Sporting Equipment > Fishing,fly reel
269668985,Lot of 4 Pcs Fishing Reels Assorted Fly Reel Mixed Brands Untested,143.57,17,2026-07-11T20:33:00,34,Sports > Sporting Equipment > Fishing,fly reel
269681205,Lot of 4 Pcs Hardy St George St John Princess Fly Fishing Reels Used,451.69,27,2026-07-11T20:50:00,34,Sports > Sporting Equipment > Fishing,fly reel
269822951,3 Vintage Fly Fishing Rods with Reels Cork Handles (Local PU only),9.99,1,2026-07-12T18:50:00,176,Sports > Sporting Equipment > Fishing,fly reel
269681809,Assorted Fishing Reel Collection with Spinning and Fly Reel Types,49.99,1,2026-07-14T17:00:00,122,Sports > Sporting Equipment > Fishing,fly reel
269768098,Quarrow Fly Fishing Rod Reel Combo With Case,31.0,6,2026-07-14T19:55:00,33,Sports > Sporting Equipment > Fishing,fly reel
270407440,Martin Red.Fly 2 Fly Fishing Reel Metallic Gold Black w/ Orange Line & Case,42.0,6,2026-07-15T18:34:00,181,Sports > Sporting Equipment > Fishing,fly reel
270222196,Pflueger Medalist CJ Fly Reel Scientific Anglers WF-6-F Line Maxima Line Lot,27.0,3,2026-07-15T18:42:00,8,Sports > Sporting Equipment > Fishing,fly reel
269958958,Sage 509 Fly Fishing Reel,191.0,16,2026-07-15T19:02:00,48,Sports > Sporting Equipment,fly reel
