item_id,title,sold_price_usd,bids,ended_at,seller_id,category,keyword
267618593,Vintage Heddon Pal #6803 and Zebco Centennial 4060 Fishing Rods Lot,7.5,1,2026-06-23T19:07:00,198,Sports > Sporting Equipment > Fishing,heddon
268304630,Fishing Lot Bomber Lures Heddon Lures Vintage Pflueger Skilkast Reel Gear,14.99,1,2026-06-28T18:32:00,5,Sports > Sporting Equipment > Fishing,heddon
268299994,Daisy Heddon Model 30-30 Buffalo Bill Scout Air Rifle,74.02,14,2026-06-28T20:25:00,69,Sports > Sporting Equipment > Airsoft,heddon
268439448,Heddon Pal 7305 Mark 1 7 Ft Red Fishing Rod,14.99,1,2026-06-29T20:58:00,102,Sports > Sporting Equipment > Fishing,heddon
268309632,Vintage Heddon Imperial Fly Fishing Reel No. 125,153.99,14,2026-06-30T20:39:00,134,Sports > Sporting Equipment > Fishing,heddon
268663623,Fishing Rod Reel Lot Sears Ted Williams Vintage Heddon Lucky 13 Hard Case,13.0,4,2026-07-03T20:41:00,344,Sports > Sporting Equipment > Fishing,heddon
269634626,"Vintage Fishing Tackle Lot Heddon, Pflueger, Garcia Mitchell, Creek Chub Lures",201.0,23,2026-07-11T18:37:00,90,Sports > Sporting Equipment > Fishing,heddon
270380759,Heddon Pal Mark 4  Fishing Poll Controlled Flex Actions,9.99,1,2026-07-17T21:21:58,363,Sports > Sporting Equipment > Fishing,heddon
270817909,"8pc Lot Of Various Vintage Fishing Reels: Shakespeare, Heddon, Rhino, Etc",9.99,1,2026-07-23T18:14:00,4,Sports > Sporting Equipment > Fishing,heddon
270834103,Vintage Wood Heddon's Sons Bait Fishing Lure,23.66,5,2026-07-23T18:14:00,163,Sports > Sporting Equipment > Fishing,heddon
270957965,Vintage Heddon 215 & 220-R Spinning Fishing Reels Set,20.0,2,2026-07-24T18:39:00,135,Sports > Sporting Equipment > Fishing,heddon
271206666,2 Vintage Heddon Musky Rods Pflueger Pakron 3178 Reels Lot,9.99,1,2026-07-25T19:41:00,168,Sports > Sporting Equipment > Fishing,heddon
271699543,Heddon Pal Mark IV #6906 6 1/2' Casting Rod with Case,9.99,1,2026-07-29T07:54:38,363,Sports > Sporting Equipment > Fishing,heddon
271943724,Heddon Pal #7355 Mark II 7' Fly Fishing Rod,30.0,7,2026-08-01T17:00:00,18,Sports > Sporting Equipment > Fishing,heddon
272208079,Vintage Heddon #150 Freshwater Spin Casting Fishing Reel IOB With Booklet AS-IS,24.0,8,2026-08-05T18:34:00,184,Sports > Sporting Equipment > Fishing,heddon
272454850,Vintage Heddon Convertible 180 Fishing Reel Green & Silver-Tone Metal Body,9.99,1,2026-08-07T18:12:00,146,Sports > Sporting Equipment > Fishing,heddon
272957749,Famous Heddon Lures Framed Wall Art Open Road Brands 2021 Fishing Decor,21.0,4,2026-08-10T18:07:00,90,Sports > Sporting Equipment > Fishing,heddon
272813318,"8pc Lot Of Various Vintage Fishing Reels: Shakespeare, Heddon, Rhino, Etc",21.0,3,2026-08-11T05:42:47,4,Sports > Sporting Equipment > Fishing,heddon
273846851,Parker Cross Pen Lot Jotter IM Ballpoint Pens Quinkflow Refills Heddon Lure,27.71,9,2026-08-18T18:10:00,87,Bulk > Office Supplies,heddon
274255797,Heddon 2-Piece Fly Fishing Rod with Velvet Cloth Case Bag,24.99,1,2026-08-24T18:03:00,7,Sports > Sporting Equipment > Fishing,heddon
275346004,Vintage Fishing Reels Baitcasting Metal Frame Lures Heddon Collectible Lot,74.99,7,2026-09-01T18:55:00,5,Sports > Sporting Equipment > Fishing,heddon
275266907,Vintage Heddon 222 Fishing Rod and Reel Lot With Lures Knife and Case,90.0,13,2026-09-02T19:46:00,140,Sports > Sporting Equipment > Fishing,heddon
276283694,Heddon Tempered Split-Bamboo Fishing Rod w/ Protective Bag & Tube,172.0,12,2026-09-09T18:32:00,26,Sports > Sporting Equipment > Fishing,heddon
276410849,Assorted Fishing Lures Heddon Magnum Clattertad Hard Plastic Crankbaits Minnows,53.89,11,2026-09-11T18:08:00,8,Sports > Sporting Equipment > Fishing,heddon
276594170,Vintage Heddon Pal Split Bamboo Fly Fishing Rod with Metal Storage Tube,71.77,2,2026-09-15T19:42:00,122,Sports > Sporting Equipment > Fishing,heddon
