item_id,title,sold_price_usd,bids,ended_at,seller_id,category,keyword
,"LEGO Playful Cat 31163, Year of the Horse 40779, Dimensions Portal 2 71203",41.00,10,2026-06-20T01:36:00,8,,
,"LEGO Botanical Collection Orchid Set 10311, 608 Pieces, 18+",24.94,1,2026-06-20T01:57:00,122,,
,"LEGO BrickHeadz Fortnite Brite Bomber, Heart Ornament, Valentine's Day Box",19.99,1,2026-06-20T03:12:00,8,,
,2 New LEGO Sets Star Wars 75396 Desert Skiff & City 60411 Fire Rescue Helicopter,136.00,7,2026-06-20T04:49:00,8,,
,Mixed Bulk LEGO & Compatible Building Bricks and Pieces Lot - 10 lbs.,29.99,3,2026-06-20T05:45:34,8,,
,Lego Star Wars Brickheadz 75317 the Mandalorian & the Child 295 Pcs New Sealed,17.00,3,2026-06-20T06:00:00,54,,
,Metroid Prime 3 Mario Super Sluggers Lego Star Wars Nintendo Wii Lot,85.26,5,2026-06-20T06:00:00,54,,
,Built Lego Cars,20.00,1,2026-06-20T06:00:00,177,,
,Lego Creator Set w/Instructions,25.00,1,2026-06-20T06:13:00,177,,
,Lego Iron Man Building Set Picture,85.00,12,2026-06-20T06:19:00,177,,
,Rainbow Six Vegas Iron Man Lego Pirates 5 Psp Game Lot Sony Playstation,12.99,1,2026-06-20T06:22:00,54,,
,LEGO #41006 Friends Downtown Bakery-Factory Sealed,13.08,3,2026-06-20T07:49:49,50,,
,Unsorted LEGO'S Lot,48.95,10,2026-06-20T08:03:52,50,,
,Unsorted LEGOS Lot,50.95,10,2026-06-20T08:07:29,50,,
,LEGO UNIKITTY 41451 Unikitty Cloud Car,9.99,1,2026-06-20T08:26:48,50,,
,LEGO Dimensions Fun Pack Lot 3 Packs 71230 71220 71214 Doc Brown Gimli Benny,28.08,2,2026-06-20T12:23:18,115,,
,LEGO Dimensions Fun Pack Lot Bart Simpson Krusty Cragger 71211 71223 71227,34.00,4,2026-06-20T12:50:28,115,,
,Unsorted LEGOS Lot,56.95,8,2026-06-20T13:10:33,50,,
,Unsorted LEGOS Lot,34.00,4,2026-06-20T13:14:22,50,,
,LEGO Marvel Infinity Gauntlet 76191 The Infinity Saga Building Set Sealed NIB,71.01,10,2026-06-20T13:15:06,115,,
