item_id,title,sold_price_usd,bids,ended_at,seller_id,category,keyword
267274536,Collection Lot Assorted Pocket Watches Dad Son Skeleton Wolf Some w/Chains,26.0,6,2026-06-21T17:00:00,19,Jewelry & Gemstones > Watches,pocket watch
267566996,Antique Men's Elgin Oresilver 17 Jewels Open Face Wind-Up Pocket Watch c.1898,72.99,6,2026-06-21T17:01:00,8,Jewelry & Gemstones > Watches,pocket watch
267534306,3pcs Vtg Mechanical Pocket Watches - Westclox/Sheffield/Lhuhang,29.99,1,2026-06-21T17:48:00,8,Jewelry & Gemstones > Watches,pocket watch
267344730,Antique 1900s Elgin Gold Filled Open Face 17 Jewels Mechanical Pocket Watch,43.8,8,2026-06-21T18:03:00,10,Jewelry & Gemstones > Watches,pocket watch
267379153,Elgin Vintage Pocket Watch,88.85,12,2026-06-21T18:05:00,339,Jewelry & Gemstones > Watches,pocket watch
268057633,Antique Nonpareil Gold-Filled Pocket Watch Chain 12.41g,23.99,1,2026-06-21T18:37:14,9,Jewelry & Gemstones > Watches > Men's Watches,pocket watch
267421813,Vintage Men's Accessories Lot Colibri Pocket Watch Cufflinks Tie Clips Pins,9.99,1,2026-06-21T19:05:00,87,Jewelry & Gemstones > Men's Accessories,pocket watch
267866427,Gold-Filled Engraved Antique Trenton Pocket Watch 79.5g,126.5,9,2026-06-21T19:18:00,145,Jewelry & Gemstones > Watches,pocket watch
267527939,"25 pc. Pocket Watch Lot - Coleman, Affinity, Bazzato, +",50.0,5,2026-06-21T19:47:00,9,Jewelry & Gemstones > Watches > Men's Watches,pocket watch
267612867,RAZ Imports Antiquite de Paris Wall Clock Oval Pocket Watch Style Metal 20 Inch,19.05,4,2026-06-21T20:18:00,145,For The Home > Home Decor > Clocks,pocket watch
267707895,Hampden Antique Gold-Filled Mechanical Men's Pocket Watch Not Working 42mm 57.9g,110.0,3,2026-06-21T20:30:00,376,Jewelry & Gemstones > Watches > Men's Watches,pocket watch
267563070,Majestime Gold Tone 17 Jewels Shock Resistant Pocket Watch W/Hunting Theme,15.99,1,2026-06-21T20:40:00,75,Jewelry & Gemstones > Watches,pocket watch
267342687,Antique Sterling Silver .935 Enamel Dial  Pocket Watch c.1880's,92.0,10,2026-06-21T20:47:00,102,Jewelry & Gemstones > Watches,pocket watch
267706918,Vtg Men/s Doxa Gold Plated 17 Jewels Open Face Wind-Up Pocket Watch,126.0,8,2026-06-22T17:01:00,8,Jewelry & Gemstones > Watches,pocket watch
267667101,Antique Men's G.A. Fehrs Gold Plated Double Hunter Wind-Up Pocket Watch,126.77,3,2026-06-22T17:36:00,8,Jewelry & Gemstones > Watches,pocket watch
267709900,3 Piece Antique Gold Tone Pocket Watch Fob Collection,102.99,7,2026-06-22T17:55:00,8,Jewelry & Gemstones > Watches > Men's Watches,pocket watch
267392519,"12Pc Fashion "" Armitron, Folio.."" Untested Pocket Watch Collection",18.0,3,2026-06-22T18:27:00,134,Jewelry & Gemstones > Watches,pocket watch
267392107,"Gold Toned Monogram Design Calibri Skeleton Pocket Watch w/ 11.5"" Chain - 52.1g",14.99,1,2026-06-22T18:39:00,86,Jewelry & Gemstones > Watches,pocket watch
267713779,Vintage/Modern Pocket Watch Lot - 6.5lbs,198.0,19,2026-06-22T18:44:00,192,Jewelry & Gemstones > Watches,pocket watch
267400330,"Vintage Gold Filled 1/20 12K Chunky Pocket Watch Chain, 14.4"" Length, 30.3 Grams",104.0,7,2026-06-22T18:55:00,11,Jewelry & Gemstones,pocket watch
267391988,Franklin Mint Ford F-100 Collector Pocket Watch with Case,49.97,1,2026-06-22T19:09:00,122,Collectibles > Figurines,pocket watch
267395425,8pc Assorted Pocket Watches and Stopwatches - Untested,101.0,8,2026-06-22T19:09:00,122,Collectibles > Clocks,pocket watch
267396031,"Vintage Lucerne Pocket Watch, Non-functional",24.94,1,2026-06-22T19:11:00,122,Jewelry & Gemstones > Watches,pocket watch
