item_id,title,sold_price_usd,bids,ended_at,seller_id,category,keyword
267291151,Vintage Artbin By Flambeau 3-shelf Tackle Box Model 8413 Made in Usa,7.99,1,2026-06-20T18:00:00,62,Collectibles,tackle box
267379456,Vintage Multi-Tier Tackle Box with Assorted Fishing Lures Jitterbug Hula Popper,226.0,35,2026-06-20T18:14:00,5,Sports > Sporting Equipment > Fishing,tackle box
267096271,Plano Hard Plastic Tackle Box with Assorted Fishing Tackle & Accessories,13.09,3,2026-06-20T18:15:00,2,Sports > Sporting Equipment > Fishing,tackle box
267068230,Vintage Fenwick 30 Tackle Box with Assorted Fishing Gear Lures Hooks Rigs,86.58,7,2026-06-20T18:50:00,2,Bulk > Sports,tackle box
267297572,6 lbs Vintage Fishing Lot Tackle Box with Lures Supplies & Accessories,9.99,1,2026-06-20T20:12:00,48,Sports > Sporting Equipment > Fishing,tackle box
267340583,"Plano Tackle Box w/ Fishing Supplies - Hooks, Lures, Bait, and More",16.0,6,2026-06-21T18:14:00,86,Sports > Sporting Equipment > Fishing,tackle box
267411618,PLUSINNO Telescopic Fishing Rod Kit w/ HA3000 Spinning Reel & Tackle Box,31.0,10,2026-06-22T18:51:00,2,Bulk > Sports,tackle box
267415926,"Plano, Berkley, South Bend, Assorted Fishing Tackle Box Set Reels & Gear",36.0,5,2026-06-22T19:14:00,89,Sports > Sporting Equipment > Fishing,tackle box
267678697,Plano Blue Gray Plastic Tackle Box with Removable Trays and Handle,21.5,4,2026-06-22T19:38:00,9,Sports > Sporting Equipment > Fishing,tackle box
267783915,"Vintage Rebel Fishing Tackle Box with Assorted Lures, Bobbers & Tools",23.0,5,2026-06-23T18:09:00,5,Sports > Sporting Equipment > Fishing,tackle box
267327979,2 Plastic Tackle Boxes with Assorted Hard and Soft Fishing Lures Rigs,57.0,13,2026-06-23T18:18:00,2,Sports > Sporting Equipment > Fishing,tackle box
267779778,Fishing Reels Tackle box and More,14.99,1,2026-06-23T18:37:00,5,Sports > Sporting Equipment > Fishing,tackle box
267579433,Vintage Poloron Products Gray Metal Fishing Tackle Box,32.0,3,2026-06-23T18:53:00,20,Sports > Sporting Equipment > Fishing,tackle box
267806811,Vintage Fishing Lures Lot Pflueger Box/Millsite Rattle/Lazy Dazy Assorted Tackle,37.0,7,2026-06-23T19:15:00,108,Sports > Sporting Equipment > Fishing,tackle box
267561242,Metal Fishing Tackle Box with Assorted Fishing Gear,19.0,4,2026-06-24T17:00:00,19,Sports > Sporting Equipment > Fishing,tackle box
267937698,Fishing Tackle Lot Eagle Claw Hooks Stren Line Plano Tackle Box Lures,9.99,1,2026-06-24T18:44:00,176,Bulk > Sports,tackle box
267682599,Mixed Fishing Tackle Lot in Organizer Box Lures Hooks Sinkers Spinners,7.99,1,2026-06-24T19:45:00,59,Sports > Sporting Equipment > Fishing,tackle box
267876037,Vintage Union Metal Tool Utility Tackle Box/Case - Model 4013,10.99,1,2026-06-25T18:27:00,201,Tools,tackle box
267589948,"Vintage Plastic Tackle Box with Fishing Lures, Hooks, Sinkers & Accessories",26.0,5,2026-06-25T18:48:00,2,Sports > Sporting Equipment > Fishing,tackle box
267826414,Fishing Lot Plano 3100 Tackle Box Berkley PowerBait Eagle Claw Lures Vintage,10.0,2,2026-06-25T19:47:00,27,Sports > Sporting Equipment > Fishing,tackle box
268143860,Vintage Union Metal Tackle Box and 5 Fishing Reels Lot 6 Items Made in USA,22.0,5,2026-06-26T16:00:00,107,Sports > Sporting Equipment > Fishing,tackle box
268191894,Vintage Estate Lot 18 Pc Dutch Masters Cigar Boxes Singer Sewing Fishing Tackle,27.25,6,2026-06-26T17:00:00,107,Bulk > Collectibles,tackle box
268073112,Lot of 4 Vintage Pflueger Medalist Fly Fishing Reels with Tackle Box & Flies,31.0,5,2026-06-26T18:47:00,8,Sports > Sporting Equipment > Fishing,tackle box
