item_id,title,sold_price_usd,bids,ended_at,seller_id,category,keyword
267270983,Guardians of the Galaxy Deluxe Vinyl Record,8.99,1,2026-06-20T07:00:00,150,Movies & Music > Music > Records/8-Track,vinyl record
267426470,"VTG Vinyl Records 7"" 45 RPM Singles w Elvis & Frankie Avalon",9.99,1,2026-06-20T11:53:13,363,Movies & Music > Music > Records/8-Track,vinyl record
267282587,Grab Bag of Vintage Vinyl 45 RPM Records with Sleeves,7.5,1,2026-06-20T16:07:00,19,Movies & Music > Music > Records/8-Track,vinyl record
267689057,Vinyl Record Lot Boston Yes Krokus GTR BTO Velvet Underground Rush Meatloaf,25.24,3,2026-06-20T16:26:00,103,Movies & Music > Music > Records/8-Track,vinyl record
267190137,Lot of 4 Vinyl Records with Covers,49.99,1,2026-06-20T17:00:00,122,Movies & Music > Music > Records/8-Track,vinyl record
267210075,Lot of 13 Vintage Vinyl Records - Various Artists,9.99,1,2026-06-20T17:00:00,22,Movies & Music > Music > Records/8-Track,vinyl record
267211794,Lot of Vintage Vinyl Records - Various Artists and Themes,9.99,1,2026-06-20T17:00:00,22,Movies & Music > Music > Records/8-Track,vinyl record
267429949,New Sealed Tyler The Great Call Me If You Get Lost Vinyl Record Album FranceMade,9.0,2,2026-06-20T17:00:00,18,Movies & Music > Music > Records/8-Track,vinyl record
267460625,Jerry Butler Soul LP Vinyl Record Lot Set of 6,11.99,3,2026-06-20T17:18:34,363,Movies & Music > Music > Records/8-Track,vinyl record
267271730,Lot of 2 David Bowie Vinyl Records Let's Dance & ChangesTwoBowie Untested,21.0,6,2026-06-20T18:04:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267274533,The Cure Wild Mood Swings 1996 2xLP Vinyl Record Elektra 61744-1,256.0,16,2026-06-20T18:07:00,57,Movies & Music > Music > Records/8-Track,vinyl record
267271562,"Lot of 3 Rock Vinyl Records Arctic Monkeys, Interpol, The Strypes Untested",16.0,4,2026-06-20T18:10:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267271464,Depeche Mode Violator Remastered Gatefold LP Album Vinyl Record Untested,36.0,8,2026-06-20T18:13:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267271667,Lot of 3 Rock Vinyl Records Talking Heads & Tom Tom Club Untested,46.12,13,2026-06-20T18:17:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267379728,Lot of Assorted Vintage Vinyl Records Classic Rock Pop 1960s-1980s LPs,151.0,10,2026-06-20T18:20:00,5,Movies & Music > Music > Records/8-Track,vinyl record
267452924,Lot of 12 Blues Rock Vinyl Record (VG) Fleetwood Mac Stephen Stills AND MORE,14.99,1,2026-06-20T18:22:00,26,Movies & Music > Music > Records/8-Track,vinyl record
267472686,Billy Cobham 'Spectrum' Vintage Vinyl Record,7.99,1,2026-06-20T18:22:00,148,Collectibles,vinyl record
267274917,"The Clash, The Specials, & The Beat Vinyl Records Untested",52.0,13,2026-06-20T18:23:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267467825,B.b. King 'Indianola Mississippi Seeds' Vintage Vinyl Record,7.99,1,2026-06-20T18:24:00,148,Collectibles,vinyl record
267270709,Kool Moe Dee 2 Vinyl Record Lot Hip Hop 1980s How Ya Like Me Now See Photos,14.99,1,2026-06-20T18:25:00,145,Movies & Music > Music > Records/8-Track,vinyl record
267275772,"5 Classic Rock Vinyl Records Led Zeppelin, Iron Butterfly, Aerosmith Untested",51.0,7,2026-06-20T18:29:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267392667,Lot of Assorted Vintage Country Gospel Vinyl Records George Jones Willie Nelson,14.99,1,2026-06-20T18:30:00,5,Movies & Music > Music > Records/8-Track,vinyl record
267377571,Lot of Assorted Vintage Vinyl Records Classic Rock Pop 70s 80s LPs,101.0,10,2026-06-20T18:34:00,5,Movies & Music > Music > Records/8-Track,vinyl record
267371042,"Vintage 7"" 45 RPM Vinyl Records Lot Pop Disco 1970s 1980s Bee Gees Jackson 5",14.99,1,2026-06-20T18:36:00,5,Movies & Music > Music > Records/8-Track,vinyl record
267412073,Vinyl Records | Fleetwood Mac- Rumours | Led Zepplin- IV | Lot of 2,48.0,6,2026-06-20T18:40:00,192,Movies & Music > Music > Records/8-Track,vinyl record
267272243,"4 80's Pop Vinyl Records The Cars, Daryl Hall & John Oates, The B-52's Untested",9.99,2,2026-06-20T18:42:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267544745,"Vinyl Record Lot: Broods, Walk The Moon, Big Eyes, Republican Hair & More",61.6,6,2026-06-20T18:43:00,376,Movies & Music > Music > Records/8-Track,vinyl record
267376293,Vintage 7-Inch Vinyl Records Lot Rock Pop and more,26.0,2,2026-06-20T18:44:00,5,Movies & Music > Music > Records/8-Track,vinyl record
267271897,2 Rock Vinyl Records Heart Self Titled & Greatest Hits & Fleetwood Mac Rumours,30.0,4,2026-06-20T18:47:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267382517,The Greatest Recordings of the Big Band Era 8 LP Vinyl Box Set Franklin Mint,14.99,2,2026-06-20T18:47:00,5,Movies & Music > Music > Records/8-Track,vinyl record
267451735,Columbia Beatles Swan Vikki Carr Johnny Mathis 45 Rpm Vinyl Records Lot With Sle,9.99,1,2026-06-20T18:56:00,73,Movies & Music > Music > Records/8-Track,vinyl record
267273983,"Lot of 4 80's Pop Vinyl Records Madonna, Bangles, Go Go's, Lene Lovich Untested",9.99,1,2026-06-20T18:59:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267165909,Lot Of 13 Story Book Read Along 33 1/3 RPM Vinyl Records Star Wars & More (B98E),24.69,4,2026-06-20T19:02:00,348,Movies & Music > Music > Records/8-Track,vinyl record
267862486,Lot of Assorted Untested Vinyl Records,6.0,2,2026-06-20T19:03:00,80,Movies & Music > Music > Records/8-Track,vinyl record
267498595,Jon Lucien 'O Mind's Eye' Vintage Vinyl Record,7.99,2,2026-06-20T19:12:00,148,Collectibles,vinyl record
267272440,Donnie Darko & District 9 Soundtrack Vinyl Records Untested,18.77,2,2026-06-20T19:14:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267658865,Guns & Roses Appetite For Destruction Vinyl Record GHS 24148,21.0,4,2026-06-20T19:19:00,103,Movies & Music > Music > Records/8-Track,vinyl record
267303738,Vintage folk rock vinyl records,21.03,6,2026-06-20T19:28:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267271383,Gorillaz Self-Titled 2LP Vinyl Record Untested,32.34,9,2026-06-20T19:42:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267272846,"4 80's New Wave Pop Vinyl Records Duran Duran, Pet Shop Boys, & More Untested",51.0,6,2026-06-20T20:04:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267754556,Choice Selections of Classical Masters with Paganini & More Vinyl Records,22.0,2,2026-06-20T20:05:00,71,Movies & Music > Music > Records/8-Track,vinyl record
267479286,11 Assorted Vintage Vinyl Records,9.99,1,2026-06-20T20:06:00,73,Movies & Music > Music > Records/8-Track,vinyl record
267311629,Crybaby vinyl record,9.99,1,2026-06-20T20:12:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267310493,Vintage Lot of 9 Assorted Musicians Small Vinyl Records,8.99,1,2026-06-20T20:15:00,29,Movies & Music > Music > Records/8-Track,vinyl record
267500595,"Lot of 5 Vintage Elton John Vinyl Records 12"" LPs MCA Records 1970s-80s",19.99,1,2026-06-20T20:16:00,8,Movies & Music > Music > Records/8-Track,vinyl record
267272977,Lot of 5 Devo & Gary Numan Vinyl Records Untested,85.08,16,2026-06-20T20:18:00,48,Movies & Music > Music > Records/8-Track,vinyl record
267274551,Motley Crue Shout at the Devil Vinyl Record LP Elektra 60289-1 1983,26.0,4,2026-06-20T20:22:00,57,Movies & Music > Music > Records/8-Track,vinyl record
267464584,The Blackbyrds 'City Life' Vintage Vinyl Record,7.99,1,2026-06-20T20:22:00,148,Collectibles,vinyl record
267437605,"Vintage Country Music Patsy Cline, Loretta Lynn, & More Vinyl Record Bundle (12)",10.99,1,2026-06-20T20:23:00,358,Movies & Music > Music > Records/8-Track,vinyl record
267267589,"Tony! Toni! Tone! Born Not To Know 1988 12"" Vinyl Single Wing Records",14.99,1,2026-06-20T20:34:00,145,Movies & Music > Music > Records/8-Track,vinyl record
267278434,The Jackson 5 Maybe Tomorrow Motown Records Album Vinyl LP 1971 Record,9.99,1,2026-06-20T20:37:00,29,Movies & Music > Music > Records/8-Track,vinyl record
267272980,Queen + Elton John LP Lot Classic Rock Greatest Hits Vinyl Records See Photos,14.99,1,2026-06-20T20:47:00,145,Movies & Music > Music > Records/8-Track,vinyl record
267503916,Vintage Elvis Presley Vinyl Records Collection RCA Victor & Camden LPs,29.99,4,2026-06-20T21:21:40,8,Movies & Music > Music > Records/8-Track,vinyl record
267505223,9 Assorted Vintage Johnny & Rosanne Cash Vinyl LP Records Classic Country,19.99,1,2026-06-20T22:57:00,8,Movies & Music > Music > Records/8-Track,vinyl record
267506418,5 Vinyl Record LPs - Angel Molly Hatchet Golden Earing More,27.0,3,2026-06-20T23:11:00,8,Movies & Music > Music > Records/8-Track,vinyl record
267530388,45 Rpm Vinyl Record Lot Jazz Pop Vocal 1940s-1950s 2 Albums See Photos,22.0,3,2026-06-21T06:00:00,54,Movies & Music > Music > Records/8-Track,vinyl record
