title,sold_price_usd,ended_at,condition,keyword,item_id
"Lot of 18 Vintage Toy Cars ~ Hot Wheels, Matchbox, Tootsie, Ertl, Etc.",13.00,2026-09-18,Pre-Owned,vintage hot wheels lot,237036031411
Vintage Lot Of 66 Matchbox Cars With Carrying Case Hot Wheels And Assorted Etc,30.99,2026-09-18,Pre-Owned,vintage hot wheels lot,318571728507
VINTAGE REDLINE HOT WHEELS LOT 16 CARS Gremlin Dune Daddy Police Hulk Chevy,51.00,2026-09-18,Pre-Owned,vintage hot wheels lot,117408170624
2 Vtg Hot Wheels SWAT Van Lot Blackwall Scene Machines 1976 Hong Kong Base,24.99,2026-09-18,Pre-Owned,vintage hot wheels lot,366624624467
Vintage Mattel Hot Wheels Redline & Other Brands lot of 26 cars Playworn,81.00,2026-09-18,Pre-Owned,vintage hot wheels lot,800648135291
Vintage Hot Wheels Redline Lot x 14 Cars For Parts Repair AS IS 1960’s / 70’s,57.00,2026-09-18,Pre-Owned,vintage hot wheels lot,178497754386
Vintage Diecast Semi Truck Lot Hot Wheels Thunder Roller Matchbox Road Champs,99.00,2026-09-18,Pre-Owned,vintage hot wheels lot,117414200633
Vintage Diecast Toy Lot Hot Wheels Redline Tyco Slot Car Hasbro Matchbox 60-70s,49.50,2026-09-18,Pre-Owned,vintage hot wheels lot,227528342192
Hot Wheels/Matchbox/Kenner Diecast Vintage 1970s Huge LOT OF 26 Racing Vehicles,50.00,2026-09-18,Pre-Owned,vintage hot wheels lot,198620971806
"Lot of VTG Hot Wheels, Matchbox & More Die-Cast Cars",9.99,2026-09-18,Pre-Owned,vintage hot wheels lot,318859003355
Vintage 1960's Mattel Hot Wheels Redline Vehicles Cars Mixed Lot of 4 The Demon,103.50,2026-09-18,Pre-Owned,vintage hot wheels lot,800657979045
Vintage Original Hot Wheels Redlines Lot w/ 20 & 1 Johnny Lightning Mako Shark,210.07,2026-09-18,Pre-Owned,vintage hot wheels lot,158272211972
1970 MATTEL HOT WHEELS REDLINE CLUB KIT BOX-NEW OLD STOCK--VINTAGE LOT-B,555.00,2026-09-18,Pre-Owned,vintage hot wheels lot,267789190491
Lot of 30 Hotwheels Style + Other Vintage Cars and Trucks Racecars Classics,6.49,2026-09-18,Pre-Owned,vintage hot wheels lot,398385896545
Hot Wheels Vintage Classic Nomad 1955 Chevy 1:64 Lot 4 (TT),16.00,2026-09-18,Pre-Owned,vintage hot wheels lot,366665479655
Vintage Mattel Hot Wheels Redline Vehicles Cars Mixed Lot of 4 Twinmill T-4-2,83.05,2026-09-18,Pre-Owned,vintage hot wheels lot,800657919162
Hot Wheels Redlines Lot of 10 1:64 Diecast 1968-69 For Part/repair,898.00,2026-09-18,Pre-Owned,vintage hot wheels lot,178488765244
Hot Wheels 22 Vehicles Bundle Toy Cars Collection & Rare Vintage Lot 80s,26.70,2026-09-18,Pre-Owned,vintage hot wheels lot,198573614891
Vintage Hot Wheels Blue Card Lot! Lamborghini! Dairy Delivery! Hyundai Tiburon!,16.50,2026-09-18,Brand New,vintage hot wheels lot,366662651241
Vintage Hot Wheels 1988 Trailbusters Monster Vette Corvette Chevy Blazer Lot x2,13.75,2026-09-18,Brand New,vintage hot wheels lot,267296651272
Hot Wheels Vintage Mini Truck Lot of 4 All From The 90's Loose Cars 1/64,19.99,2026-09-18,Pre-Owned,vintage hot wheels lot,407027965727
"Lot Of 100 Vintage 1990’s Hot Wheels Ford Classic Cars, Muscle Cars & Trucks",162.50,2026-09-18,Brand New,vintage hot wheels lot,237063699751
VINTAGE 1960-1975-CATALOG 24 TOY LOT-HOT WHEELS REDLINE- CORGI-MATCHBOX-DINKY,109.00,2026-09-18,Pre-Owned,vintage hot wheels lot,267780848895
Vintage Hot Wheels Blue Card Lot! VW Bug! Viper! Tail Dragger! Purple Passion!,19.50,2026-09-18,Brand New,vintage hot wheels lot,366662645981
Vintage Lot Of 3 1986 Hot Wheels Flip Out Series - Two 200SX And 1 Police Car,6.99,2026-09-18,Pre-Owned,vintage hot wheels lot,298665393876
Vintage Hotwheels Lot Redlines A Few Matchbox Lot Of 17.,45.00,2026-09-18,Pre-Owned,vintage hot wheels lot,227468371500
Vintage Toy Car Lot reserved,90.00,2026-09-18,Pre-Owned,vintage hot wheels lot,188947337852
Hot Wheels/ VTG Corvettes/Lot of 12/Mfg.-1995-2001/ NIP/Some 3-Spoke Wheels,33.95,2026-09-18,Brand New,vintage hot wheels lot,398405311305
Vintage hot wheels...  1970s Loose Lot,19.50,2026-09-18,Pre-Owned,vintage hot wheels lot,227520207429
Vintage Hot Wheels Military Vehicle Lot Tank Jeep CJ-7 U.S. Army Truck 1980s,25.00,2026-09-18,Pre-Owned,vintage hot wheels lot,168186842284
