title,sold_price_usd,ended_at,condition,keyword,item_id
HOT WHEELS REDLINE NICE FOR COMBINED SHIP READ AD,39.00,2026-09-18,Pre-Owned,hot wheels redline,267789568606
HOT WHEELS REDLINE NICE FOR COMBINED SHIP READ AD,49.00,2026-09-18,Pre-Owned,hot wheels redline,267789566623
Hot Wheels 2022 RLC Red Line Club Exclusive '32 FORD (Red Chrome),39.99,2026-09-18,Brand New,hot wheels redline,158265242629
1968 Hot Wheels Redline Custom Fleetside Lot of 7 cars ford mk IV custom T bird,39.00,2026-09-18,Pre-Owned,hot wheels redline,366671876415
Vintage 1973 Hot Wheels Redline Sir Rodney Roadster Yellow w/Brown Top Hong Kong,20.00,2026-09-18,Pre-Owned,hot wheels redline,366483841834
Hot Wheels Red Line Club Nissan Skyline GT-R (R34) Purple 1/64 Loose,60.00,2026-09-18,Pre-Owned,hot wheels redline,800682357124
Hot Wheels Redline Farbs Myles Ahead Blister Pull Minty,100.00,2026-09-18,Pre-Owned,hot wheels redline,307169630981
Vintage Hot Wheels Redline Spectraflame Copper FERRARI 312 P Car,27.96,2026-09-18,Pre-Owned,hot wheels redline,227470702306
Hot Wheels Redline SPLITTIN IMAGE Brown USA White Interior Near Mint W/BADGE !!!,59.95,2026-09-18,Pre-Owned,hot wheels redline,398306115639
Hot Wheels Redline 1969 Heavyweights Cab HK Green,20.00,2026-09-18,Pre-Owned,hot wheels redline,128086902689
Hot Wheels Redline 1975 Street Rodder Black T-Bucket w/ Flames,10.22,2026-09-18,Pre-Owned,hot wheels redline,398341441489
Vintage Hot Wheels Redline 1974 Gremlin Grinder Super Chromes Hong Kong,24.88,2026-09-18,Pre-Owned,hot wheels redline,206545001208
Hot Wheels Red Line Club 1969 Ford Mustang Green 1:64 Diecast Unopened Box,87.00,2026-09-18,Brand New,hot wheels redline,206551314865
HOT WHEELS REDLINE NICE FOR COMBINED SHIP READ AD,49.00,2026-09-18,Pre-Owned,hot wheels redline,267789564507
Hot Wheels Redline 1970 Cockney Cab  in Spectraflame Lime Green,65.00,2026-09-18,Pre-Owned,hot wheels redline,820116674963
Hot Wheels Red Line Club RLC 1962 Ford F100 NEW,51.00,2026-09-18,Brand New,hot wheels redline,198595517268
Hot Wheels Vintage 1968 Splittin Image Brown Redline Dark Interior USA-w/button,38.00,2026-09-18,Pre-Owned,hot wheels redline,198569361162
Hot Wheels Heavy Weights Green 1969 Mercedes 280SL TNT - Bird Lot Of 3,7.50,2026-09-18,Pre-Owned,hot wheels redline,137727010687
HOT WHEELS REDLINE FOR COMBINED SHIP READ AD,29.00,2026-09-18,Pre-Owned,hot wheels redline,267789555982
Hot Wheels Redline American Victory #9 1973 Canada Good Condition,25.99,2026-09-18,Pre-Owned,hot wheels redline,157946540523
ORIGINAL 1969 HOT WHEELS REDLINE PEEPING BOMB AQUA U.S.,135.00,2026-09-18,Pre-Owned,hot wheels redline,363640288463
Vintage Diecast Toy Lot Hot Wheels Redline Tyco Slot Car Hasbro Matchbox 60-70s,49.50,2026-09-18,Pre-Owned,hot wheels redline,227528342192
CUSTOM HOT WHEELS 62 CHEVY SLAMMED Dukes Of Hazard Redline Steelies Rust Beauty!,129.99,2026-09-18,Pre-Owned,hot wheels redline,327364387374
Hot Wheels Redline Python in Hot Pink /w White Interior. 1968 USA RARE RARE RARE,231.50,2026-09-18,Pre-Owned,hot wheels redline,820116593714
Hot Wheels 1968 Turbo Fire Redline,39.99,2026-09-18,Pre-Owned,hot wheels redline,198503088366
1976 Mattel Hot Wheels Red Line T-Totaller 1/64 Toy Vehicle,225.00,2026-09-18,Pre-Owned,hot wheels redline,377507322848
Hot Wheels Redline Volkswagen Beach Bomb ~Loved,69.99,2026-09-18,Pre-Owned,hot wheels redline,158307525148
HOT WHEELS # 731 VW VOLKSWAGEN BEETLE BUG + NEW LOOSE 50TH RED LINE PURPLE -PAIR,5.00,2026-09-18,Brand New,hot wheels redline,318867730960
IN HAND Hot Wheels RLC Ferrari F40 1:64 Red Line Club Last One Unopened,154.50,2026-09-18,Brand New,hot wheels redline,137749706705
Vintage 1969 Hot Wheels Redline Heavyweights Purple Flatbed & 67 Custom T-Bird,32.99,2026-09-18,Pre-Owned,hot wheels redline,117393144709
