title,sold_price_usd,ended_at,condition,keyword,item_id
Le Creuset Vintage Flame Orange Cast Iron Lid “C” 8” Made In France Replacement,29.44,2026-09-18,Pre-Owned,vintage le creuset,137675177118
Le Creuset Vintage Cast Iron Enamel Dutch Oven 28 Soleil (Chipped Bottom) W/Lid,85.17,2026-09-18,Pre-Owned,vintage le creuset,377402832115
Le Creuset FB cobalt blue enameled cast iron fat Handle.,99.00,2026-09-18,Pre-Owned,vintage le creuset,358848798392
Le Creuset Cast Iron Enameled Dutch Oven With Lid Blue #28,104.48,2026-09-18,Pre-Owned,vintage le creuset,407216747097
Vintage Le Creuset #20 8” Cast Iron Skillet Fry Pan Green,70.00,2026-09-18,Pre-Owned,vintage le creuset,307116804267
Le Creuset Small Dutch Oven Flame Orange # B Cast Iron,99.90,2026-09-18,Pre-Owned,vintage le creuset,287541602611
Vintage Le Creuset #23 Skillet Fry Pan Enameled Cast Iron Double Spout 9” Green,49.91,2026-09-18,Pre-Owned,vintage le creuset,820121960907
"Vintage Le Creuset,  #30 Enamel Cast Iron Braiser/Dutch Oven Flame Orange 3.5 Qt",150.00,2026-09-18,Pre-Owned,vintage le creuset,336776938312
Le Creuset Green Bell Pepper Cast Iron Dutch Oven 2.25 Qt Limited Edition,225.00,2026-09-18,New (Other),vintage le creuset,168614725085
Le Creuset Yellow Enamel Stock Pot Set w/ Lid Vintage Cookware Made in France,45.00,2026-09-18,Pre-Owned,vintage le creuset,206564202682
Le Creuset La Mama Enzo Mari No 21 Enameled Bright Green Oval Dish Vintage Rare,49.99,2026-09-18,Pre-Owned,vintage le creuset,287570166751
"LE CREUSET #26 pinkEnamel Cast Iron Skillet Fry Pan 2 Spout 10.75"" France",75.90,2026-09-17,Pre-Owned,vintage le creuset,227526124533
Vintage Le Creuset Brown Enameled Cast Iron Lid Size E 24 Replacement Lid France,39.99,2026-09-17,Pre-Owned,vintage le creuset,820120148871
Le Creuset Flame Orange #14 Saucepan With Lid & Wood Handle,36.00,2026-09-17,Pre-Owned,vintage le creuset,117409816939
Vintage Le Creuset Orange Enamel Cast Iron Pan Wood Handle 24 France,33.33,2026-09-17,New (Other),vintage le creuset,307164734593
"Vintage Le Creuset ""E” ORANGE 10"" Replacement LID ONLY",20.00,2026-09-17,Pre-Owned,vintage le creuset,306903808590
LE CREUSET - Made In FRANCE BLACK CAST IRON #28 DUTCH OVEN 7.5 QT Preowned,109.99,2026-09-17,Pre-Owned,vintage le creuset,267769956572
Vintage Le Creuset Cherry Red #16 Saucepan Wood Handle Pour Spout & Lid,66.00,2026-09-17,Pre-Owned,vintage le creuset,188309639045
Vintage Le Creuset  Paris Blue / Teal E 4.5 Quart Dutch Oven W/ Lid Cast Iron,295.00,2026-09-17,Pre-Owned,vintage le creuset,158288354490
VINTAGE LE CREUSET #26 Round Dutch Oven Pot W/ Lid Green Enamel Cast Iron France,159.00,2026-09-17,Pre-Owned,vintage le creuset,198377369503
Le Cruset Vintage Dutch Oven E Made In France Enamel Cast Iron Blue 4.5qt,65.00,2026-09-17,Pre-Owned,vintage le creuset,147573801165
"Le Creuset 3.5 Qt, Cast Iron, Dutch Oven Pot Pan with Lid #22 Blue",109.00,2026-09-17,Brand New,vintage le creuset,377493112148
Vintage Le Creuset / Cousances #32 Oblong Skillet Pan GREY Great Condition,74.99,2026-09-17,Pre-Owned,vintage le creuset,227478758839
Le Creuset VTG  Dutch Oven 28 7.25 Qt Cast Iron Dark Green French,75.00,2026-09-16,Pre-Owned,vintage le creuset,318874501294
Vintage Mid-Century Le Crueset Cousnaces France Paris Blue Saucepan & Lid P-20,122.99,2026-09-16,Pre-Owned,vintage le creuset,168594045976
VTG Green Le Creuset 12 5/8 X 8 7/8” Oblong Enameled Cast Iron Grill Skillet,40.00,2026-09-16,Pre-Owned,vintage le creuset,168683466418
Le Creuset BLACK # 23 Skillet Fry Pan Enameled Cast Iron Double Spout 9”,64.00,2026-09-16,,vintage le creuset,237059346770
Vintage Le Creuset # 23 Cast Iron Blue Enamel Skillet 9” Double Spout France,45.00,2026-09-16,Pre-Owned,vintage le creuset,336785584823
Le Creuset France Cast Iron Blue Enamel Covered Dutch Oven Fry Pan # 27,125.00,2026-09-16,Pre-Owned,vintage le creuset,236794487288
Le CREUSET Cerise Red # 35 Large  Oval Enameled  Dutch Oven   9.5 Qt,199.99,2026-09-16,Pre-Owned,vintage le creuset,267783407090
