title,sold_price_usd,ended_at,condition,keyword,item_id
Vintage PYREX Primary Yellow 401 Small Nesting Mixing Bowl 1.5pt Glass Oven Ware,16.99,2026-09-18,Pre-Owned,vintage Pyrex bowl,188919064835
"Pyrex Forest Green Clear Bottom Mixing Bowls Set Of 3, 322,323,325",59.32,2026-09-18,Pre-Owned,vintage Pyrex bowl,287569475890
Vtg Pyrex 404 Bowl Red Gold Leaf Holly Pine Cone Christmas 4 Qt Lid & Stand,129.96,2026-09-18,Pre-Owned,vintage Pyrex bowl,128065422541
Vintage Pyrex Homestead 402 Mixing Bowl Tan Blue Speckled Floral 1.5 Liters USA,14.95,2026-09-18,Pre-Owned,vintage Pyrex bowl,128051043730
Set of 3 Vintage PYREX Spring Blossom Crazy Daisy Mixing Bowls,49.99,2026-09-18,Pre-Owned,vintage Pyrex bowl,278385021537
Vintage PYREX Vision Grab It Bowl Amber Replacement Lid P-150-C Corning ware,11.95,2026-09-18,Pre-Owned,vintage Pyrex bowl,117402430521
Vintage PYREX Vision Grab It Bowl Amber Replacement Lid P-150-C Corning ware,12.00,2026-09-18,Pre-Owned,vintage Pyrex bowl,206408142935
Vintage PYREX Vision Grab It Bowl Amber Replacement Lid P-150-C Corning ware,10.00,2026-09-18,Pre-Owned,vintage Pyrex bowl,198623112757
Vintage 1950s PYREX Flamingo Berry Bowls Pink Gold Trim - Set of 8 (1 Chipped),45.99,2026-09-18,Pre-Owned,vintage Pyrex bowl,318700397318
PYREX Shenandoah  475-B Milk Glass Mixing Bowl Yellow/Green/White,9.99,2026-09-18,Pre-Owned,vintage Pyrex bowl,257696474484
Vintage Pyrex Cinderella Nesting Mixing Bowls Set of 4 Woodland 441 442 443 444,119.95,2026-09-18,Pre-Owned,vintage Pyrex bowl,158299742447
Pyrex Woodland Brown Casserole Bowl No 471-B 500 ml No Lid,14.14,2026-09-18,Pre-Owned,vintage Pyrex bowl,267704167114
Pyrex 463 6oz 175ml Custard Cups Small Bowls 3 Lines - Set of 3,18.00,2026-09-18,Pre-Owned,vintage Pyrex bowl,177943619954
Vintage PYREX Clear Glass 3 QT Bowl 026,15.00,2026-09-18,Pre-Owned,vintage Pyrex bowl,237039483788
"Vintage Pyrex 1915 1 Qt Glass Bowl Teal Polka Dots Retro 6"" Diamenter - USA",10.00,2026-09-18,Pre-Owned,vintage Pyrex bowl,376573763526
Vintage Pyrex Gooseberry Cinderella Mixing Bowls Pink White Milk Glass Set of 4,335.00,2026-09-18,Pre-Owned,vintage Pyrex bowl,327363533579
Pyrex Americana Autumn Fall Colors Nesting Bowls 401 402 403 404 Vintage Set 4,129.95,2026-09-18,Pre-Owned,vintage Pyrex bowl,158216213117
VTG 1970’s PYREX #403 Autumn Harvest Wheat Bowl Golden Orange Rust Brown,22.00,2026-09-18,Pre-Owned,vintage Pyrex bowl,257708314013
"Vintage 1960s JAJ Pyrex ""Toledo"" Cinderella Mixing Bowl - Retro Orange/Brown 11”",10.62,2026-09-18,Pre-Owned,vintage Pyrex bowl,206180551942
"2-Vintage PYREX 414-B - Clear Glass Bowl for Oven & Microwave, Storage USA",12.99,2026-09-18,Pre-Owned,vintage Pyrex bowl,267729728090
Pyrex #403 White Mixing Bowl Good Condition!,20.51,2026-09-18,Pre-Owned,vintage Pyrex bowl,227517481987
Vintage PYREX Clear Glass Tab Handle LID ONLY #470-C Replacement Lid #1,12.50,2026-09-18,Pre-Owned,vintage Pyrex bowl,147579985570
Vintage 444 Pyrex TOWN & COUNTRY Cinderella Milk Glass all brown4 QT MIXING BOWL,6.60,2026-09-18,Pre-Owned,vintage Pyrex bowl,366663171433
"3 Vintage Pyrex Homestead Cinderella Mixing Bowls 444, 442, 441",55.00,2026-09-18,Pre-Owned,vintage Pyrex bowl,278387660744
Vintage PYREX Old Orchard Brown Nesting Mixing Bowl Set 2 1/2 Qt And 1 1/2 Qt,28.00,2026-09-18,Pre-Owned,vintage Pyrex bowl,128033612001
Vintage Pyrex 444 Spring Blossom Green Crazy Daisy Cinderella Mixing Bowl 4 Qt,32.00,2026-09-18,Pre-Owned,vintage Pyrex bowl,366673094684
"Pyrex Primary Colors Nesting Mixing Vintage Bowls Set of 4 - 401, 402, 403, 404",120.00,2026-09-18,Pre-Owned,vintage Pyrex bowl,147575647275
Vintage PYREX Primary Yellow 401 Small Nesting Mixing Bowl 1 1/2 pt,15.95,2026-09-18,Pre-Owned,vintage Pyrex bowl,820086987428
Vintage Pyrex Forest Fancies Mushroom Bowl 475-B 2.5 Qt. No Lid,17.57,2026-09-18,Pre-Owned,vintage Pyrex bowl,800127983007
"Vintage Pyrex 6"" Round Clear 681-C Lid w/ Handles for 019  Casserole/Baking Dish",6.99,2026-09-18,Pre-Owned,vintage Pyrex bowl,198486031196
