title,sold_price_usd,ended_at,condition,keyword,item_id
Disney's Toy Story (Super Nintendo SNES) 100% CIB COMPLETE IN BOX RARE TESTED,69.99,2026-09-18,Pre-Owned,nintendo super nintendo game complete in box,128085948542
Daffy Duck The Marvin Missions SNES Super Nintendo Rare Complete In Box Manual,80.00,2026-09-18,Pre-Owned,nintendo super nintendo game complete in box,267127875511
"Choplifter III (Super Nintendo Entertainment System, 1994) COMPLETE IN BOX CIB",75.00,2026-09-18,Pre-Owned,nintendo super nintendo game complete in box,377427434997
Cutthroat Island (Super Nintendo SNES) Complete CIB In Box w/ Poster Rare,89.36,2026-09-18,Pre-Owned,nintendo super nintendo game complete in box,336648141057
SUPER NINTENDO DOOM SNES COMPLETE IN BOX,132.00,2026-09-18,Pre-Owned,nintendo super nintendo game complete in box,158307637590
Super R Type (Super Nintendo SNES) Complete in Box CIB,79.94,2026-09-18,Pre-Owned,nintendo super nintendo game complete in box,407105026185
Mega Man X2 Super Nintendo SNES CIB Complete In Box!,649.99,2026-09-18,Pre-Owned,nintendo super nintendo game complete in box,158303756646
SNES Michael Jordan CIB Complete In Box Super Nintendo Entertainment,125.00,2026-09-18,Pre-Owned,nintendo super nintendo game complete in box,377366148783
Street Fighter II Super Nintendo SNES Video Game Complete in Box Rare,29.88,2026-09-18,Pre-Owned,nintendo super nintendo game complete in box,287593342138
CHRONO TRIGGER CGC 7.0 CIB SNES Super Nintendo Complete In Box Rare RPG,1500.00,2026-09-13,Pre-Owned,nintendo super nintendo game complete in box,127597633772
The Untouchables – Super Nintendo SNES – Complete In Box (CIB) – Rare Collector',107.24,2026-09-17,Pre-Owned,nintendo super nintendo game complete in box,398009205870
Primal Rage (Super Nintendo SNES) Complete in Box (Cib) *,71.49,2026-09-17,Pre-Owned,nintendo super nintendo game complete in box,398399372795
"Super GameBoy (Super Nintendo, 1994) SNES CIB Complete In Box Tested!",74.00,2026-09-17,Pre-Owned,nintendo super nintendo game complete in box,146576045592
