title,sold_price_usd,ended_at,condition,keyword,item_id
1950 Singer Featherweight 221 Sewing Machine with Original Case,265.00,2026-09-18,Pre-Owned,singer featherweight 221,278366060872
Original Singer 221 Featherweight Stitch Regulator Lever and Indicator Plate,20.00,2026-09-18,Pre-Owned,singer featherweight 221,227278623739
"1950 SINGER FEATHERWEIGHT SEWING MACHINE 221-1  w/Pedal, Manual, Accessories",303.00,2026-09-18,,singer featherweight 221,327354038382
PRISTINE! 1951 SINGER 221-1 FEATHERWEIGHT SEWING MACHINE W/ Case 1951 Centennial,559.00,2026-09-18,Pre-Owned,singer featherweight 221,198650298307
"Rare , Singer School Bell Featherweight Sewing Machine , Foot Controller & Case",650.00,2026-09-18,Pre-Owned,singer featherweight 221,117409437212
Vintage SINGER 221 Featherweight Sewing Machine Part Hull only (Stor LOc RB1 p3),129.00,2026-09-18,Pre-Owned,singer featherweight 221,327349077746
Vintage FEATHERWEIGHT 1950 SINGER Sewing Machine 221-1 Case Accessories Pinking,425.00,2026-09-18,Pre-Owned,singer featherweight 221,307174790148
SINGER FEATHERWEIGHT GOLD METALLIC ***PRE TRIMMED*** DECAL SET FOR  221K - 222 K,22.95,2026-09-17,Brand New,singer featherweight 221,153016483107
Vintage Singer Featherweight Sewing Machine 221-1  W/Case / Accessories READ,245.00,2026-09-18,Pre-Owned,singer featherweight 221,397993175904
Vtg SINGER 221 FEATHERWEIGHT Sewing Machine Carrying Case  for REHAB,30.00,2026-09-17,Pre-Owned,singer featherweight 221,327361426089
"PRIVATE SALE, ALL OTHERS CANCELED '35 SINGER FEATHERWEIGHT 221 f. PLATE + screw",119.95,2026-09-17,Pre-Owned,singer featherweight 221,800677132015
1951 Vintage Singer 221 FEATHERWEIGHT Sewing Machine CAT 3-120 Motor TESTED,99.99,2026-09-18,Pre-Owned,singer featherweight 221,158302276111
SINGER 1935 Electric Sewing Machine 221-1 Case & Manual AE005987 *PARTS/REPAIR*,399.99,2026-09-17,Pre-Owned,singer featherweight 221,298683221527
Vintage White/Pale Celadon Singer Featherweight 221K7 Portable Machine,595.00,2026-09-16,Pre-Owned,singer featherweight 221,147575626031
Vintage Singer 221 Featherweight Sewing Machine In Original Case And manual,335.00,2026-09-17,Pre-Owned,singer featherweight 221,147566453293
1936 SINGER 221 Featherweight Sewing Machine serial#ae306***,550.00,2026-09-17,Pre-Owned,singer featherweight 221,287577400334
Vintage Original Singer Featherweight 221 & Others 3 Prong Electrical Terminal,29.99,2026-09-17,Pre-Owned,singer featherweight 221,800671340035
Vintage SINGER 221 Featherweight Sewing Machine 3 BLACKSIDE Bobbins,19.99,2026-09-17,Pre-Owned,singer featherweight 221,800672456817
Singer Featherweight 221-1 Sewing Machine & Original Case+Acc&Manual. Tested!,445.00,2026-09-17,Pre-Owned,singer featherweight 221,158250424053
1937 Singer Featherweight 221 Sewing Machine AE408311 Scrolled Faceplate w/ Case,699.00,2026-09-17,Pre-Owned,singer featherweight 221,327268826388
ORIGINAL SINGER FEATHERWEIGHT 221 222K SEWING MACHINE PRESSER FOOT 45321,6.43,2026-09-18,Pre-Owned,singer featherweight 221,227514354744
Vintage 1952 SINGER FEATHERWEIGHT 221 Sewing Machine w/ Case - Works Great,345.00,2026-09-16,Pre-Owned,singer featherweight 221,377485045381
Vintage 1940s Singer Featherweight 221 Sewing Machine Used (Functional),250.50,2026-09-18,Pre-Owned,singer featherweight 221,206550566114
"Working SINGER Featherweight  1941 model 221-1 Sewing Machine, 3-110 motor, Case",310.00,2026-09-16,Pre-Owned,singer featherweight 221,278359551397
Vintage Singer Featherweight 221-1 Sewing Machine With case and instructions,315.00,2026-09-18,,singer featherweight 221,398394652875
Singer Featherweight 221 Sewing Machine Case Only,80.00,2026-09-16,Pre-Owned,singer featherweight 221,198630721915
1953 Singer 221 FEATHERWEIGHT SEWING MACHINE MALE 3 PRONG BAKELITE PLUG,27.99,2026-09-18,Pre-Owned,singer featherweight 221,128031600000
NEW Singer Featherweight Replacement Case w/key works with 221 & 222 Models,99.50,2026-09-16,Brand New,singer featherweight 221,198419165810
BEAUTIFUL 1961 SINGER FEATHERWEIGHT 221 SEWING MACHINE STRIATED FACEPLATE #45718,16.19,2026-09-17,Pre-Owned,singer featherweight 221,287486173112
Vintage Singer Featherweight 221 Sewing Machine - Tested - Works,300.00,2026-09-16,Pre-Owned,singer featherweight 221,398379849455
