title,sold_price_usd,ended_at,condition,keyword,item_id
Elna Supermatic Sewing Machine Green Vintage Swiss Made For Parts Lots Of Extras,199.99,2026-09-18,Pre-Owned,vintage sewing machine,407219057553
White Beige Portable Domestic Sewing Machine With Hard Case Untested,12.99,2026-09-18,Pre-Owned,vintage sewing machine,398384070234
Vintage Singer Featherweight Sewing Machine 221-1  W/Case / Accessories READ,245.00,2026-09-18,Pre-Owned,vintage sewing machine,397993175904
Singer Sewing  503A 503 Rocketeer Top Lid Cover Part Vintage (storLOCR80A p3),34.95,2026-09-18,Pre-Owned,vintage sewing machine,227413759871
WHITE 'JEANS MACHINE' 1888 FREE ARM SEWING MACHINE BUILT IN STITCHES HEAVY DENIM,129.99,2026-09-18,Pre-Owned,vintage sewing machine,398088778670
Singer Sewing Machine Model 384.13016300 NO CASE With Instructions Clean From CA,79.99,2026-09-18,Pre-Owned,vintage sewing machine,318596655481
Singer Sewing Machine Potted Motor 15-91 Bobbin Winder Early 1930-1936 VINTAGE,19.95,2026-09-18,Pre-Owned,vintage sewing machine,178230697131
Kenmore Sewing Machine Vintage Model 385.16020100 Testing Working with Pedal,89.95,2026-09-18,Pre-Owned,vintage sewing machine,227526432803
Vintage FEATHERWEIGHT 1950 SINGER Sewing Machine 221-1 Case Accessories Pinking,425.00,2026-09-18,Pre-Owned,vintage sewing machine,307174790148
Elena Air Electronic SU Sewing Machine Swiss Made Vintage w/ pedal Parts/Repair,79.97,2026-09-18,Pre-Owned,vintage sewing machine,206561557422
Vintage SINGER 20-10 Sewhandy Sewing Machine Seam Guide,19.90,2026-09-18,Pre-Owned,vintage sewing machine,117328327882
1951 Vintage Singer 221 FEATHERWEIGHT Sewing Machine CAT 3-120 Motor TESTED,99.99,2026-09-18,Pre-Owned,vintage sewing machine,158302276111
Singer Vintage Electric Sewing Machine Black Gold Decals Foot Pedal AL872715,23.50,2026-09-18,Pre-Owned,vintage sewing machine,820130725884
