title,sold_price_usd,ended_at,condition,keyword,item_id
"1950 SINGER FEATHERWEIGHT SEWING MACHINE 221-1  w/Pedal, Manual, Accessories",303.00,2026-09-18,,singer treadle sewing machine,327354038382
Singer CG-550C Heavy Duty Mechanical Sewing Machine With Foot Pedal,99.99,2026-09-18,Pre-Owned,singer treadle sewing machine,398392116216
Vtg Singer Golden Touch & Sew Zig Zag Model 640 Sewing Machine Pedal & Extras,89.99,2026-09-18,Pre-Owned,singer treadle sewing machine,198598348149
Singer Dressmaker 300Z Pedal Operated Sewing Machine.  Only Used 2x. Great Cond.,38.44,2026-09-18,Pre-Owned,singer treadle sewing machine,398391077597
"4PCS 1-1/4"" Caster Wheel Pads For Antique Singer Treadle Sewing Machine Black",17.95,2026-09-18,,singer treadle sewing machine,397321038727
"Retro Singer 431g Convertible Sewing Machine Case, Pedal & Some Accessories👁",680.00,2026-09-18,Pre-Owned,singer treadle sewing machine,336658221283
Vintage Singer 6215C Sewing Machine - Tested & Working (With Pedal),65.00,2026-09-18,Pre-Owned,singer treadle sewing machine,227510545858
Singer 401A Slant O Matic Sewing Machine Foot Pedal Vintage Works,150.00,2026-09-18,Pre-Owned,singer treadle sewing machine,287532764049
Antique Singer Treadle Sewing Machine Parts Wheel Cast Iron Belt Pulley,35.00,2026-09-18,,singer treadle sewing machine,406642423607
Athena 2000 Electronic Sewing Machine Multi-Stitch Foot Pedal with case,65.00,2026-09-18,Pre-Owned,singer treadle sewing machine,267751561563
Vintage Singer Sewing Machine Model 99- With Pedal And Green Case TESTED WORKS,89.95,2026-09-18,Pre-Owned,singer treadle sewing machine,178494299312
"Antique Singer treadle sewing machine Plain Wood Drawer 14.5"" x 4.75"" x 3.5""",12.99,2026-09-17,,singer treadle sewing machine,145591742406
Vintage Singer Merritt 2404 Beautiful Pink Sewing Machine W/Foot Pedal Hard Case,75.00,2026-09-17,Pre-Owned,singer treadle sewing machine,307163488468
"Vintage Singer Sewing Machine, Tested, Working, With Case & Foot Pedal",39.00,2026-09-17,Pre-Owned,singer treadle sewing machine,128072773665
6 Vintage Singer Treadle Sewing Machine Cabinet  Wood Drawers+ frames,79.99,2026-09-17,,singer treadle sewing machine,267260567456
"Vintage Singer 301A Sewing Machine W/ Pedal, Case, Attachments, And More WOW!",299.99,2026-09-17,Pre-Owned,singer treadle sewing machine,377461010926
Singer 401a Sewing Machine No Pedal Tested READ,165.00,2026-09-17,Pre-Owned,singer treadle sewing machine,168198718247
Vintage Singer NK Toy Sewing Machine Working Battery Operated Foot Pedal Retro,29.95,2026-09-16,Pre-Owned,singer treadle sewing machine,366606791819
"Antique Singer Sewing Machine Treadle Base Wheel/Axle(s)  1/2” x 1-3/8"", VGC",15.99,2026-09-16,,singer treadle sewing machine,257712736517
"VINTAGE 1950s Singer 99 Sewing Machine – Working Condition, W/ Case & Foot Pedal",149.99,2026-09-16,Pre-Owned,singer treadle sewing machine,287328610791
Antique SINGER Treadle Sewing Machine Wooden Drawers 2 Sets of 2 Drawers,39.99,2026-09-16,,singer treadle sewing machine,800507137738
"VINTAGE SINGER TREADLE SEWING MACHINE SMALL 2 PIECE SET OAK DRAWER KNOBS, NICE",19.95,2026-09-16,,singer treadle sewing machine,227249054979
Singer 401A Sewing Machine Slant O Matic Foot Pedal Power Cord Vintage Working,155.00,2026-09-16,Pre-Owned,singer treadle sewing machine,398326729637
"VINTAGE SINGER TREADLE SEWING MACHINE CAST BASE WHEEL, 3/8"" WIDE",15.00,2026-09-16,Pre-Owned,singer treadle sewing machine,146875473454
Singer 301A Vintage Sewing Machine ..Long Bed ...W/ Pedal -Made in USA,179.49,2026-09-16,Pre-Owned,singer treadle sewing machine,298671857370
SINGER Base Wheel TREADLE SEWING MACHINE FRAME WHEEL AND AXLE LATER VERSION,14.99,2026-09-16,,singer treadle sewing machine,267346673368
4 Original Vtg. Antique Singer Treadle Sewing Machine Base Metal Wheels & Pins,38.99,2026-09-16,,singer treadle sewing machine,198627525209
1895 SINGER TREADLE SEWING MACHINE BRASS DROP BAIL DRAWER PULL(s),24.99,2026-09-16,Pre-Owned,singer treadle sewing machine,257702277337
1920s Singer treadle sewing machine in original cabinet,1.00,2026-09-15,,singer treadle sewing machine,168691747978
Antique Singer Treadle Sewing Machine Wood Two Drawer Frame Misc Parts w/Screws,12.95,2026-09-15,,singer treadle sewing machine,298656513099
