title,sold_price_usd,ended_at,condition,keyword,item_id
BEAUTIFUL 1900s FRANK M. WHITING STERLING LILY PATTERN WEDDING CAKE BREAD KNIFE,69.99,2026-09-18,,sterling silver flatware,256718607784
Milburn Rose By Westmoreland Sterling Silver Cream Soup Spoon,75.00,2026-09-18,,sterling silver flatware,267782858476
Lunt Sterling Silver Handle Butter Knives Pair Stainless Blades 7” 92g,21.63,2026-09-18,,sterling silver flatware,206551098478
GORHAM CHANTILLY Sterling Silver Flatware Carving Set Stainles Blades,185.00,2026-09-18,,sterling silver flatware,158286606919
VTG Tiffany & Co. Childs Sterling Silver 4pc Set in Original Case,120.00,2026-09-18,,sterling silver flatware,206557087184
"$49 each - Sterling 32 grams DAMASK ROSE Teaspoon 6-1/2""  Oneida Heirloom",49.00,2026-09-18,,sterling silver flatware,117317134763
"Towle King Richard Sterling Silver 6"" Teaspoon Set Of 8 325 Grams",568.03,2026-09-18,,sterling silver flatware,267784212462
Vintage STERLING SILVER FORK 5” Weight Of 10 Grams,13.00,2026-09-18,,sterling silver flatware,800633561324
Set of 6 Towle Mandarin Sterling Silver Knives rare bamboo design over 319 grams,192.50,2026-09-18,,sterling silver flatware,267782720091
Towle King Richard Sterling Silver Table Serving Pieces 556 Grams,964.65,2026-09-18,,sterling silver flatware,267784207565
Gorham Chantilly Sterling Handle Knifes Set of 2 No Monogram,59.95,2026-09-18,,sterling silver flatware,137748988502
"Vintage 1891 Whiting Louis XV Sterling Silver Tea Spoon,30 Grams,5 3/4"" Long",40.00,2026-09-18,,sterling silver flatware,377503355553
925 Alvin Sterling Silver Forks 7 1/8 Chateau Rose Pat. 1934 Set Of 2,165.00,2026-09-18,,sterling silver flatware,206565702236
Towle King Richard Sterling Silver Ice Teaspoon 8-1/8 Set Of 11 504 Grams,899.00,2026-09-18,,sterling silver flatware,267784201436
Sterling Silver Art Deco Flatware 1970 Grams,3432.49,2026-09-18,,sterling silver flatware,267784196809
Set TWO Large Tiffany & Co Sterling Silver Shell Ice Serving Tongs American 6.5”,1597.00,2026-09-18,,sterling silver flatware,405944696534
RARE TIFFANY & Co. 60's SEA SHELL Pattern .925 STERLING SILVER TONGS one owner,699.95,2026-09-18,,sterling silver flatware,321102205682
TIFFANY & Co. - STERLING SILVER VINTAGE SHELL PATTERN SUGAR / ICE TONG,479.00,2026-09-18,,sterling silver flatware,188639579462
VINTAGE TIFFANY & CO. STERLING SILVER ST. JAMES PATTERN ICE CREAM SLICER SPOON,275.00,2026-09-18,,sterling silver flatware,227367985782
"Pair of J E Caldwell Sterling Silver Bon Bon Tulip Shaped 5"" Serving Spoons; 46g",71.00,2026-09-18,,sterling silver flatware,168681934510
"FRIGAST Sterling Guilloche Spoon Denmark, Light Blue Enamel 6.5"" - Free Ship US",49.99,2026-09-18,,sterling silver flatware,277747519903
"Gorham Lot Of 3 Sterling Silver King Edward 6"" Teaspoons",120.00,2026-09-18,,sterling silver flatware,384285055270
"Barker Bros Ltd, HM,England STERLING SILVER 8pc Demitasse spoons with case",199.99,2026-09-18,,sterling silver flatware,398385609569
VINTAGE STERLING SILVER DECORATIVE SPOON: MISSOURI SCHOOL OF MINES 15.9 GR (k31),24.50,2026-09-18,,sterling silver flatware,298510731873
VINTAGE STERLING SILVER DECORATIVE SPOON: FINE ARTS PALACE PANAMA 1915 (k32),24.50,2026-09-18,,sterling silver flatware,298510156317
"VINTAGE STERLING SILVER DECORATIVE SPOON: SPRINGFIELD, ILL STATE CAPITOL (k31)",24.50,2026-09-18,,sterling silver flatware,298510736040
"565. Tiffany Sterling Pastry Server Unk Floral Pat. 1 Avail. 10 5/8"" 4.33 ozt.",525.00,2026-09-18,,sterling silver flatware,307186329656
Lookout Mountain Battlefield Souvenir Fork Watson Sterling Silver,225.00,2026-09-18,,sterling silver flatware,274722288684
Tiffany & Co Sterling Silver .925 Edinborough 1806 Reproduction Ladle Monogram K,49.99,2026-09-18,,sterling silver flatware,198635171029
SET OF 3 TOWLE OLD LACE STERLING SILVER BUTTER KNIVES 85 GRAMS (22a),136.50,2026-09-18,,sterling silver flatware,298505373483
